﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:37gG4GPeTRPKKdXYx3zTRC","Song For The Dead","Queens of the Stone Age","Songs For The Deaf (UK Version)","1","4","352453","spotify:user:mrniaboc","2016-05-13T09:55:46Z"
"spotify:track:3Yj8CiMjYKKNn4yvUIf1QU","This Is Hardcore - Original Version","Pulp","This Is Hardcore Deluxe Edition (2 CD )","1","5","383733","spotify:user:mrniaboc","2016-05-13T09:56:25Z"
"spotify:track:6z0QCh7CTU9bE5C7TAHK4R","Apocalypse Please","Muse","Absolution (New 09 version)","1","2","252866","spotify:user:mrniaboc","2016-05-13T09:57:07Z"
"spotify:track:1EGukDl5V8yoDiHu2wFuWL","Panic Song","Green Day","Insomniac","1","8","215440","spotify:user:116001551","2016-05-13T10:00:29Z"
"spotify:track:0ew27xRdxSexrWbODuLfeE","I'm Coming Out","Diana Ross","Diana (Reissue Version)","1","4","326373","spotify:user:116001551","2016-05-13T10:05:57Z"
"spotify:track:3GfOAdcoc3X5GPiiXmpBjK","Song 2","Blur","Blur: The Best Of","1","2","121880","spotify:user:116001551","2016-05-13T10:06:25Z"
"spotify:track:1g0ANOIlEp0A9mp8xm3ICz","Come Together","Primal Scream","Screamadelica","1","6","625253","spotify:user:116001551","2016-05-13T10:07:47Z"
"spotify:track:2QhS8t66Y4FSvA6mBh0HTV","Das Rheingold, Scene 1: Scene 1: Orchestral prelude","Richard Wagner, English National Opera Orchestra, Reginald Goodall","Wagner: Das Rheingold (Sung in English) [Live]","1","1","301000","spotify:user:116001551","2016-05-13T10:08:35Z"
"spotify:track:2VTQAjZr7FPoEJD2sNoH3o","Celebrity Skin","Hole","Celebrity Skin","1","1","162493","spotify:user:alexbowyer","2016-05-13T10:01:28Z"
"spotify:track:4sy45X8Jo15DxjDDpDkInF","Blue Monday","New Order","Singles (US format)","1","5","449493","spotify:user:alexbowyer","2016-05-13T10:36:09Z"
"spotify:track:4yWfEHt0oBNObi2RpLLfhA","Breakthru - Remastered 2011","Queen","The Platinum Collection (2011 Remaster)","2","8","249146","spotify:user:alexbowyer","2016-05-13T10:02:18Z"
"spotify:track:20lYTJhxSodfHGVNRUt3nI","Planet Hell","Nightwish","Once","1","4","278760","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-05-13T10:09:16Z"
"spotify:track:7o2CTH4ctstm8TNelqjb51","Sweet Child O' Mine","Guns N' Roses","Appetite For Destruction","1","9","356080","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-05-13T10:22:11Z"
"spotify:track:5qz5eX8HIWfMGuaPCdI086","Injection (From "Mission: Impossible II")","London Music Works, Francesca Genco","The Best of Hans Zimmer","2","1","293413","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-05-13T10:24:16Z"
"spotify:track:17TL9F8wgFbBpNUuzxXhjg","Kitty Jay","Seth Lakeman","Kitty Jay","1","4","192800","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-05-13T10:28:48Z"
"spotify:track:6QDbGdbJ57Mtkflsg42WV5","Hot For Teacher - 2015 Remastered Version","Van Halen","1984 (Remastered)","1","6","282746","spotify:user:alexbowyer","2016-05-13T10:09:32Z"
"spotify:track:3By9jCy6b4dv5XnlhvIWwx","Dies Irae","Giuseppe Verdi, Carmen Giannattasio, Veronica Simeoni, Alxander Timchenko, Carlo Colombara, Yuri Temirkanov, St Petersburg Philharmonic Orchestra","Verdi Requiem","1","2","134746","spotify:user:s1mo80","2016-05-13T10:14:00Z"
"spotify:track:3e8wlpwbbdXtpB5Cw7TnB6","Death March","Faith No More","Introduce Yourself","1","5","182333","spotify:user:eatyourgreens","2016-05-13T10:20:21Z"
"spotify:track:39TNsojSjrTcpA8fPAnSIE","Carmina Burana: I. Fortuna Imperatrix Mundi: O Fortuna","Carl Orff, Brighton Festival Chorus, Antal Doráti, Royal Philharmonic Orchestra","Carmina Burana - The Greatest Classical Choir Pieces","1","1","145600","spotify:user:eatyourgreens","2016-05-13T10:21:46Z"
"spotify:track:5040KBkzJJOveyU2KqeRTF","Fear Of The Dark - Live","Iron Maiden","A Real Live One","1","11","431333","spotify:user:s1mo80","2016-05-13T10:27:41Z"
"spotify:track:2jfYVyExxd0j61Qm5TZi6V","Seasons In The Abyss","Slayer","Seasons In The Abyss","1","10","397826","spotify:user:s1mo80","2016-05-13T10:40:25Z"
"spotify:track:5h42NSdP8VBBsw2WEXgJD3","Saor / Free / News from Nowhere","Afro Celt Sound System","Volume 1 - Sound Magic (Real World Gold)","1","1","501093","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-05-13T10:33:04Z"
"spotify:track:6RQ4YlHFJO4Kn5vbRv6htG","Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio","Ludwig van Beethoven, London Symphony Orchestra, Antal Doráti","Beethoven's 5th","1","2","463893","spotify:user:alexbowyer","2016-05-13T10:52:09Z"
"spotify:track:3SOZcwfezNCWKs2vukSELD","Also sprach Zarathustra, Op.30: Prelude (Sonnenaufgang)","Richard Strauss, Berliner Philharmoniker, Herbert von Karajan","Strauss, R.: Also sprach Zarathustra; Till Eulenspiegel; Don Juan; Salome's Dance Of The Seven Veils","1","1","109666","spotify:user:s1mo80","2016-05-13T10:57:09Z"
"spotify:track:2cmRpmO04TLaKPzmAzySYZ","Dance Yrself Clean","LCD Soundsystem","This Is Happening","1","1","536471","spotify:user:mrniaboc","2016-05-13T11:03:04Z"
"spotify:track:6NfhJnufcldpDimI4UiLof","The Host Of Seraphim (Remastered)","Dead Can Dance","The Serpent’s Egg (Remastered)","1","1","378173","spotify:user:s1mo80","2016-05-13T11:11:12Z"
"spotify:track:3Q0U2Qv4lyBD0LdZlsYYqN","Organ Donor - Extended Overhaul","DJ Shadow","Endtroducing (Deluxe Edition)","2","9","268973","spotify:user:mrniaboc","2016-05-13T11:16:21Z"
"spotify:track:6P2jl6p1ZEzmK3Zx4yaW2g","Eye Of Fatima (Pt. 1)","Camper Van Beethoven","Our Beloved Revolutionary Sweetheart","1","1","157160","spotify:user:eatyourgreens","2016-05-13T11:25:23Z"
"spotify:track:1dtfTodJ3Uld533EXKQokC","Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remastered Version","Pink Floyd","Wish You Were Here [2011 - Remaster] (2011 Remastered Version)","1","1","811077","spotify:user:eatyourgreens","2016-05-13T11:27:22Z"
"spotify:track:40riOy7x9W7GXjyGp4pjAv","Hotel California","Eagles","Hotel California (Remastered)","1","1","391376","spotify:user:becky1505","2016-05-13T11:29:31Z"
"spotify:track:7u4YYDqgqEu7etjfwWy3u8","Papa Don't Preach","Madonna","The Immaculate Collection","1","9","249426","spotify:user:becky1505","2016-05-13T12:54:27Z"
"spotify:track:0qUfScHUMYfqyxsu1PovVB","I Can't Help Myself - Second Version (Mono)","Four Tops","50th Anniversary The Singles Collection 1964-1972","1","9","166760","spotify:user:eatyourgreens","2016-05-13T11:33:45Z"
"spotify:track:0qxYx4F3vm1AOnfux6dDxP","You Can Call Me Al","Paul Simon","Graceland (25th Anniversary Deluxe Edition)","1","6","280000","spotify:user:astopy","2016-05-13T11:50:48Z"
"spotify:track:3ptER26gZWGlFsPT7HJfqd","The Spirit Of Radio","Rush","Permanent Waves","1","1","299026","spotify:user:astopy","2016-05-13T11:50:48Z"
"spotify:track:7FwBtcecmlpc1sLySPXeGE","Dancing In the Dark","Bruce Springsteen","Born In The U.S.A.","1","11","241306","spotify:user:astopy","2016-05-13T11:50:48Z"
"spotify:track:3LcYYV9ozePfgYYmXv0P3r","Fire And Rain","James Taylor","Sweet Baby James","1","7","202840","spotify:user:astopy","2016-05-13T11:50:48Z"
"spotify:track:0S2cMsSo3KgOQF8QdxgYrk","Layla","Derek & The Dominos, Eric Clapton","The Cream Of Clapton","1","1","433106","spotify:user:astopy","2016-05-13T11:50:48Z"
"spotify:track:1pHP4JeQV9wDx87D6qH9hD","Here It Goes Again","OK Go","Oh No","1","3","179813","spotify:user:becky1505","2016-05-13T12:57:18Z"
"spotify:track:4a8mshDjwAIwNcgDvCtMMa","Ain't Nothing Wrong With That","Robert Randolph & The Family Band","Colorblind (U.S. Version)","1","1","210440","spotify:user:becky1505","2016-05-13T12:58:21Z"
"spotify:track:71lBC1TVgMidXDpuTuafCS","The Letter - Single Version","Loretta Lynn, Conway Twitty","20th Century Masters: The Millennium Collection: Best Of Conway Twitty & Loretta Lynn","1","6","165306","spotify:user:theegrange","2016-05-13T13:31:28Z"
"spotify:track:1cLfXnBwTFuRngRZfQeLof","Kick Out the Jams - Intro 2/ LP Version","MC5","Kick Out The Jams (Live)","1","2","164266","spotify:user:theegrange","2016-05-13T13:34:01Z"
"spotify:track:5MsAOlmmyRXm4ruZ9CnqeK","Make It Funky - Pt. 1","James Brown","40th Anniversary Collection","2","5","195360","spotify:user:theegrange","2016-05-13T13:36:41Z"
"spotify:track:4KcE3At063Xyleg2xGzVYz","Metal Guru","T. Rex","The Slider","1","1","149706","spotify:user:theegrange","2016-05-13T13:40:07Z"
"spotify:track:51m0PrZokFZNk5b5xptyzC","Cannonball","The Breeders","Last Splash","1","2","215573","spotify:user:theegrange","2016-05-13T13:51:29Z"
"spotify:track:0gnS1k4dyGPuD3TtHFaCD8","No Good","Kaleo, Vinyl on HBO","VINYL: Music From The HBO® Original Series - Vol. 1","1","3","235146","spotify:user:irregulargalaxies","2016-05-13T15:28:53Z"
"spotify:track:4jX5YH4N3E32pmLz1AlAuT",""B" Movie Box Car Blues - Live Version","The Blues Brothers, Joe Gastwirt","Briefcase Full Of Blues","1","10","244400","spotify:user:irregulargalaxies","2016-05-13T15:33:25Z"
"spotify:track:5L8ta4ECl5zeA6bGqY7G38","Sing, Sing, Sing","Benny Goodman","The Essential Benny Goodman","1","6","520293","spotify:user:irregulargalaxies","2016-05-13T15:31:44Z"
"spotify:track:4yqtwO7MQIIXqoiRBPHAgR","Money For Nothing","Dire Straits","Brothers In Arms","1","2","506400","spotify:user:irregulargalaxies","2016-05-13T15:45:13Z"
"spotify:track:1Uj2yJKcIdNHcQu4DMr6cX","777-9311","The Time","What Time Is It?","1","2","485400","spotify:user:zachprime","2016-05-13T16:20:36Z"
"spotify:track:0spkblBy89rGrXqJmT9R2B","The Planets, Op. 32: I. Mars, the Bringer of War","Gustav Holst, Royal Scottish National Orchestra, David Lloyd-Jones","Holst: The Planets, Op. 32 - Matthews: Pluto, the Renewer","1","1","418400","spotify:user:highzgal","2016-05-13T16:19:23Z"
"spotify:track:4A1jq5W97gi5ok44CgZiab","Battery","Metallica","Master Of Puppets","1","1","312706","spotify:user:zachprime","2016-05-13T16:27:24Z"
"spotify:track:3wY8GRMM7SuI2lbHfUdzu0","Dance Commander","Electric Six","Fire","1","1","156066","spotify:user:zachprime","2016-05-13T16:36:27Z"
"spotify:track:0yEhNqCwEfy8LHUmnZoHpP","Bohemian Like You","The Dandy Warhols","Thirteen Tales From Urban Bohemia","1","10","211706","spotify:user:zachprime","2016-05-13T16:59:13Z"
"spotify:track:7IjdIp3WlQtEnN2BXjr7ov","The Kids Aren't Alright","The Offspring","Americana","1","5","179600","spotify:user:mcbouslog","2016-05-13T17:03:18Z"
"spotify:track:5JZcX7TTLx4l0xFIXJ3DBt","What's My Age Again?","blink-182","Enema Of The State","1","5","148573","spotify:user:mcbouslog","2016-05-13T17:06:49Z"
"spotify:track:0fIC59ZyS8ThtUF0Um6zuD","Cherub Rock","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","1","298253","spotify:user:zachprime","2016-05-13T17:20:36Z"
"spotify:track:7nYvUtkQMx1v80S2FH2s9J","Regulate","Warren G, Nate Dogg","Regulate… G Funk Era (Special Edition)","1","1","248866","spotify:user:mcbouslog","2016-05-13T17:23:49Z"
"spotify:track:2AxCeJ6PSsBYiTckM0HLY7","Voodoo Child (Slight Return)","Jimi Hendrix","Electric Ladyland","1","16","313373","spotify:user:mcbouslog","2016-05-13T17:38:07Z"
"spotify:track:63kMZoG9xuU96GQdioTCI4","Whiskey In The Jar - Full Length Version","Thin Lizzy, Derek Varnals","Wild One - The Very Best Of Thin Lizzy (Remastered Version)","1","19","345760","spotify:user:sjhvod1989","2016-05-13T17:54:00Z"
"spotify:track:5SI6jYhKUWm1qnaheTm4Zw","Dreadlock Holiday","10cc","Bloody Tourists","1","1","267946","spotify:user:sjhvod1989","2016-05-13T17:57:10Z"
"spotify:track:1SwE3FURO4wYshsLRggtfv","Money - 2011 Remastered Version","Pink Floyd","The Dark Side Of The Moon (2011 Remastered Version)","1","6","382834","spotify:user:sjhvod1989","2016-05-13T18:08:15Z"
"spotify:track:6kjlvJLh2DBsSQtqVzFh8I","Immigrant Song","Led Zeppelin","Led Zeppelin III","1","1","145066","spotify:user:sjhvod1989","2016-05-13T18:12:06Z"
"spotify:track:2XGHdmjsumZRkaL8LhBb1e","Johnny B. Goode","Chuck Berry","20th Century Masters: The Millennium Collection: Best Of Chuck Berry","1","7","161293","spotify:user:mcbouslog","2016-05-13T21:09:33Z"
