﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5rsSdv2z7JLhE399TQW6ji","Alive and Kicking","Simple Minds","5 Album Set (Remastered) [Sons and Fascination/New Gold Dream/Sparkle in the Rain/Once Upon a Time/Street Fighting Years]","4","4","326120","spotify:user:itsravenous","2015-11-27T15:14:16Z"
"spotify:track:5hkgrWxkobGtg30I7DsfVu","Ten Thousand Fists","Disturbed","Ten Thousand Fists (Standard Edition)","1","1","212040","spotify:user:itsravenous","2015-11-27T15:27:14Z"
"spotify:track:6Q32Vkucx2qeuVyBd3NiFZ","Battle Without Honor Or Humanity","Tomoyasu Hotei","Kill Bill Vol. 1 Original Soundtrack (PA Version)","1","9","148840","spotify:user:irregulargalaxies","2015-11-27T15:16:19Z"
"spotify:track:3y9l6k1sTwXgJ3L80IfrS9","Defeat You","Smash Mouth","Astro Lounge","1","12","233666","spotify:user:irregulargalaxies","2015-11-27T15:16:29Z"
"spotify:track:2KH16WveTQWT6KOG9Rg6e2","Eye of the Tiger","Survivor","Rocky IV","1","4","245620","spotify:user:highzgal","2015-11-27T15:16:01Z"
"spotify:track:76Je5Wklky23mVoxiRszcN","Walk","Foo Fighters","Wasting Light","1","11","255960","spotify:user:alexbowyer","2015-11-27T15:28:39Z"
"spotify:track:2bZqtcd92jJ7CZlrt3Mmwu","Beautiful Life","Gui Boratto","Chromophobia","1","11","507279","spotify:user:mrniaboc","2015-11-27T15:15:10Z"
"spotify:track:6JV4vNn2wjaF7Z0A5fiMcC","Victory Theme (FINAL Fantasy Series)","Nobuo Uematsu","Distant Worlds II: more music from Final Fantasy","1","7","12253","spotify:user:cmk82","2015-11-27T15:18:03Z"
"spotify:track:4lA3CJ6y5rVeMyYEWsZSqZ","Don't be Afraid (Final Fantasy VIII)","Nobuo Uematsu","Distant Worlds: music from Final Fantasy","1","5","225266","spotify:user:cmk82","2015-11-27T15:22:25Z"
"spotify:track:4cmfwCjNRd7kOGlyM36pMw","Can't Get the Best of Me","Cypress Hill","Skull & Bones","2","3","254906","spotify:user:mrniaboc","2015-11-27T15:17:23Z"
"spotify:track:77NNZQSqzLNqh2A9JhLRkg","Don't Stop Believin'","Journey","The Essential Journey","1","2","248906","spotify:user:1264248857","2015-11-27T15:45:27Z"
"spotify:track:3FUS56gKr9mVBmzvlnodlh","Killing In the Name","Rage Against The Machine","Rage Against The Machine","1","2","313666","spotify:user:alexbowyer","2015-11-27T15:33:06Z"
"spotify:track:1nuiMoIH7mdUUDWnvocKVy","Make Your Own Kind Of Music - Single Version","Mama Cass","California Dreamin' - The Best of The Mamas & The Papas","1","18","140386","spotify:user:mrniaboc","2015-11-27T15:31:04Z"
"spotify:track:1m0E5D8cOJyO1A2IBX4w4i","Fight Song","Rachel Platten","Fight Song","1","1","202506","spotify:user:alexbowyer","2015-11-27T15:34:07Z"
"spotify:track:6YAVQOzPhKsP50AGIT9Ry2","It's Not My Time","3 Doors Down","The Greatest Hits","1","4","242693","spotify:user:alexbowyer","2015-11-27T15:36:12Z"
"spotify:track:1wsRitfRRtWyEapl0q22o8","Guerrilla Radio","Rage Against The Machine","The Battle Of Los Angeles","1","2","206200","spotify:user:mrniaboc","2015-11-27T15:34:41Z"
"spotify:track:6PnA3sEF3HLQTJow7Kk4pi","Stronger","Sugababes","Overloaded (International EU Version)","1","5","240773","spotify:user:alexbowyer","2015-11-27T15:38:34Z"
"spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi","Survivor","Destiny's Child","Survivor","1","2","254026","spotify:user:1264248857","2015-11-27T15:39:51Z"
"spotify:track:1dlVi2bXeT0FJ8F0jvim2Q","Solaris","Celldweller","Soundtrack For The Voices In My Head, Vol. 01","1","3","259399","spotify:user:martenveldthuis","2015-11-27T15:56:27Z"
"spotify:track:1j9hygHMlSWI9PlopV0uqI","Unstoppable","E.S. Posthumus","Makara","1","3","184746","spotify:user:martenveldthuis","2015-11-27T16:01:52Z"
