﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7i3qhnxYFlgddPvGyhN26T","2 Hearts","Kylie Minogue","X","1","1","173546","spotify:user:mrniaboc","2015-09-03T15:27:04Z"
"spotify:track:6W04EMrXtUum6yhcxkUGJJ","When the Lights Go Out - Radio Edit","Five, Cutfather & Joe","Greatest Hits","1","8","249933","spotify:user:mrniaboc","2015-09-03T15:27:41Z"
"spotify:track:1z3ugFmUKoCzGsI6jdY4Ci","Like A Prayer","Madonna","Celebration (double disc version)","1","9","342680","spotify:user:mrniaboc","2015-09-03T15:28:04Z"
"spotify:track:3IxioxLjYN3IEWrCJqS1bD","Steam","East 17","Steam","1","1","203026","spotify:user:mrniaboc","2015-09-03T15:29:44Z"
"spotify:track:2OlqxtIOJ7qOmbVs5lp1Zp","Dumb","The 411","Between The Sheets","1","7","167960","spotify:user:mrniaboc","2015-09-03T15:30:03Z"
"spotify:local:Destiny%27s+Child:Survivor:Bootylicious:207","Bootylicious","Destiny's Child","Survivor","0","0","207000","spotify:user:1264248857","2015-09-03T15:35:13Z"
"spotify:track:7GonnnalI2s19OCQO1J7Tf","Kickstart My Heart","Mötley Crüe","Dr. Feelgood","1","5","284026","spotify:user:1264248857","2015-09-03T15:39:13Z"
"spotify:track:7ba7mwoleFlwmOiuqw8XNf","Unskinny Bop - 2006 - Remaster","Poison","The Best Of- 20 Years Of Rock","1","10","229160","spotify:user:1264248857","2015-09-03T15:45:34Z"
"spotify:local:Neil+Diamond:The+Best+Of+Neil+Diamond+-+20th+Century+Masters%3A+The+Millennium+Collection:Sweet+Caroline:203","Sweet Caroline","Neil Diamond","The Best Of Neil Diamond - 20th Century Masters: The Millennium Collection","0","0","203000","spotify:user:1264248857","2015-09-03T15:47:25Z"
"spotify:track:3GeWoSHW9o8DbUd7DxBm9p","Rock DJ","Robbie Williams","In And Out Of Consciousness: Greatest Hits 1990 - 2010","1","27","257373","spotify:user:1264248857","2015-09-03T20:30:33Z"
"spotify:track:3XQY8kDjI8LARMIC9xkxQk","Hard In Da Paint","Waka Flocka Flame","Flockaveli","1","2","246270","spotify:user:bdisraeli","2015-09-03T16:05:00Z"
"spotify:track:7nZfeOysgXhx6NdZPm6rwG","Laying Pipe","Pornosonic","Pornosonic: Unreleased 70's Porn Music","1","9","143133","spotify:user:martenveldthuis","2015-09-03T16:06:00Z"
"spotify:track:2D1hlMwWWXpkc3CZJ5U351","P.I.M.P.","50 Cent","Get Rich Or Die Tryin' (Explicit Version)","1","11","249466","spotify:user:bdisraeli","2015-09-03T16:09:52Z"
"spotify:track:3VA4sjTMSTTF02hFGmlpJh","crushcrushcrush","Paramore","RIOT!","1","8","189373","spotify:user:bdisraeli","2015-09-03T16:11:12Z"
"spotify:track:7nPMEaHqwvkdJD7Y8Yb7iJ","All Around The World [ Feat. Collagen Girl ]","Collagen Girl, ATC","It's The 90's","1","8","220000","spotify:user:trinity3infinity","2015-09-03T16:30:21Z"
"spotify:track:6nCDnzErqalOaIY3EJM8NK","Telephone","Lady Gaga, Beyoncé","The Fame Monster (UK Deluxe)","1","6","220626","spotify:user:128278286","2015-09-03T16:49:28Z"
"spotify:track:5lc7Ci32jCD5wQoXZXT5lu","The Real Slim Shady","Eminem","The Marshall Mathers LP - Tour Edition (International Version)","2","8","284200","spotify:user:128278286","2015-09-03T16:52:12Z"
"spotify:track:3QHPHLAkYV5cQBUYs6rowx","Gold Digger","Kanye West, Jamie Foxx","Late Registration","1","4","207626","spotify:user:128278286","2015-09-03T16:54:20Z"
"spotify:track:7fcgisGFCr4mfbfNSztr84","Viva La Vida","Coldplay","Viva La Vida - Prospekt's March Edition","1","7","241426","spotify:user:128278286","2015-09-03T16:54:57Z"
"spotify:track:4Va4wVo5CO3H1yBUi0NHU1","Sobbin' Women","MGM Studio Orchestra, MGM Studio Chorus","Seven Brides for Seven Brothers (Original Soundtrack) [1954]","1","9","232221","spotify:user:128278286","2015-09-03T16:55:09Z"
"spotify:track:3bDGwl0X3EjQmIyFD1uif5","Roar","Katy Perry","PRISM (Deluxe)","1","1","223546","spotify:user:cam_allen","2015-09-03T17:16:13Z"
"spotify:track:6ZOBP3NvffbU4SZcrnt1k6","Kryptonite","3 Doors Down","The Better Life","1","1","233826","spotify:user:cam_allen","2015-09-03T17:21:39Z"
"spotify:track:4BggEwLhGfrbrl7JBhC8EC","Butterfly","Crazy Town","The Gift Of Game","1","6","216733","spotify:user:cam_allen","2015-09-03T17:22:16Z"
"spotify:track:0OaunKfsxkgBvPv68jBbmm","It Wasn't Me","Shaggy, Ricardo Ducent","The Boombastic Collection - Best of Shaggy","1","8","227546","spotify:user:cam_allen","2015-09-03T17:22:39Z"
"spotify:track:1iyVEyyA6Kv6JfJGQLkibN","Hurt (Prod. Suicideyear)","Yung Lean","Unknown Death 2002","1","5","247000","spotify:user:bdisraeli","2015-09-03T18:17:28Z"
"spotify:track:7nXq1vaZiz7PdbfojpPjW5","Fighter","Christina Aguilera","Stripped","1","4","245960","spotify:user:irregulargalaxies","2015-09-03T18:48:37Z"
"spotify:track:4vnNEiCfm9bnSGGHbukSXT","Ist Deine Liebe Echt - Disco 2000 Radio Mix","Blümchen","Die Welt Gehört Dir","1","2","198800","spotify:user:irregulargalaxies","2015-09-03T18:50:13Z"
"spotify:track:4ZJuBzJbrlPYJ9EHqbL0w6","Me Lost Cookie At the Disco","Bert & Ernie, Girls, Cookie Monster","Elmo's Dance Party","1","2","179920","spotify:user:irregulargalaxies","2015-09-03T18:51:10Z"
"spotify:track:7iBav4v8maicL8cWKGxFhQ","Angel Of Harlem","U2","Rattle And Hum","1","10","229266","spotify:user:irregulargalaxies","2015-09-03T18:53:11Z"
"spotify:track:6gy63tZHDDUMb6hIPaRj6z","Story Of My Life","Scott Bradlee's Postmodern Jukebox","Twist Is The New Twerk","1","7","261500","spotify:user:irregulargalaxies","2015-09-03T18:57:53Z"
"spotify:track:5HOpkTTVcmZHnthgyxrIL8","The Fox (What Does The Fox Say?)","Ylvis","The Fox (What Does The Fox Say?)","1","1","213708","spotify:user:116001551","2015-09-03T20:19:29Z"
"spotify:track:3FCto7hnn1shUyZL42YgfO","Piano Man","Billy Joel","The Essential Billy Joel","1","1","336093","spotify:user:116001551","2015-09-03T20:19:49Z"
"spotify:track:2UjLzxf4oYjHOVOBoVojlL","Champagne Supernova","Oasis","(What's The Story) Morning Glory","1","12","450506","spotify:user:116001551","2015-09-03T20:20:08Z"
"spotify:track:5Aov1f83MyPMnMK0IqRcJY","I Am A Cider Drinker (Paloma Blanca)","The Wurzels","The Wurzels Collection","1","1","183760","spotify:user:116001551","2015-09-03T20:20:37Z"
"spotify:track:4rcHWl68ai6KvpXlc8vbnE","Keep on Loving You - Remastered","REO Speedwagon","Hi Infidelity (30th Anniversary Edition)","1","2","200293","spotify:user:116001551","2015-09-03T20:47:50Z"
"spotify:track:6wjSNO6uJYlgbbfauyWhiw","Wind Of Change","Scorpions","Crazy World","1","4","313226","spotify:user:s1mo80","2015-09-03T21:28:59Z"
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","The Fray","How To Save A Life","1","3","262533","spotify:user:1217929062","2015-09-03T20:36:28Z"
"spotify:track:77NNZQSqzLNqh2A9JhLRkg","Don't Stop Believin'","Journey","The Essential Journey","1","2","248906","spotify:user:1217929062","2015-09-03T20:36:37Z"
