﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5KH5sL2xOsyd9O2z8p9i8c","Team America F**k Yeah Anthem","Bishop Lamont",""Team America - F**K Yeah - Special Forces"","1","2","247106","spotify:user:alexbowyer","2015-12-11T10:20:28Z"
"spotify:track:0dOg1ySSI7NkpAe89Zo0b9","Born in the U.S.A.","Bruce Springsteen","Born In The U.S.A.","1","1","278680","spotify:user:jordan-genus-and-species","2015-12-11T10:23:42Z"
"spotify:track:0egmXjMeF4XP8HCRP5si1U","(What This World Needs Is) A Few More Rednecks","The Charlie Daniels Band","Simple Man","1","1","222066","spotify:user:mrniaboc","2015-12-11T10:25:25Z"
"spotify:track:29ufIwomYfLbWBxPMdaUZm","North American Scum","LCD Soundsystem","Sound Of Silver","1","3","328706","spotify:user:mrniaboc","2015-12-11T10:25:55Z"
"spotify:track:6nTiIhLmQ3FWhvrGafw2zj","American Idiot","Green Day","American Idiot (Regular Edition)","1","1","176346","spotify:user:jordan-genus-and-species","2015-12-11T10:26:14Z"
"spotify:track:6bJuuCtXYiwOcKT9s8uRh8","California Girls","The Beach Boys","Summer Days (And Summer Nights) [2001 - Remaster]","1","7","160360","spotify:user:mrniaboc","2015-12-11T10:32:22Z"
"spotify:track:0UrWr7Jnu1heq1o99ZwUd0","Youth Of The Nation","P.O.D.","Satellite (U.S. Version WEA Distribution)","1","4","256240","spotify:user:mrniaboc","2015-12-11T10:32:37Z"
"spotify:track:6nofbMbadUdrtZmIsBHyYE","Amish Paradise (Parody of "Gangsta's Paradise" by Coolio)",""Weird Al" Yankovic","The Essential Weird Al Yankovic","2","2","199533","spotify:user:alexbowyer","2015-12-14T10:54:17Z"
"spotify:track:6tS3XVuOyu10897O3ae7bi","California Gurls - feat. Snoop Dogg","Katy Perry","Katy Perry - Teenage Dream: The Complete Confection","1","3","234653","spotify:user:jordan-genus-and-species","2015-12-11T10:36:23Z"
"spotify:track:2Vba5MBCdGqcE57GSiOstv","Around My Way [Freedom Ain't Free]","Lupe Fiasco","Food & Liquor II: The Great American Rap Album Pt. 1","1","4","255773","spotify:user:cam_allen","2015-12-11T11:08:57Z"
"spotify:track:5IxsYjEWRhZHeFhuS7YnWx","Banned In The USA","2 LIVE CREW","Banned In The Usa","1","1","266626","spotify:user:alexbowyer","2015-12-11T11:22:06Z"
"spotify:track:48UPSzbZjgc449aqz8bxox","Californication","Red Hot Chili Peppers","Californication (Deluxe Version)","1","6","329733","spotify:user:alexbowyer","2015-12-11T11:23:07Z"
