﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6JV2JOEocMgcZxYSZelKcc","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")","Justin Timberlake","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")","1","1","236001","spotify:user:becky1505","2016-06-10T10:44:30Z"
"spotify:track:4PFQ4EQBtJUp2jQjpmYkVA","Nothing Like This","Blonde, Craig David","Nothing Like This","1","1","183645","spotify:user:becky1505","2016-06-10T10:46:42Z"
"spotify:track:464XjjRcO8no1YY9amYKbv","Beautiful Thing","The Stone Roses","Beautiful Thing","1","1","422172","spotify:user:becky1505","2016-06-10T10:47:47Z"
"spotify:track:664gdARxaClFsoF5SXKOws","Here","Alessia Cara","Know-It-All (Deluxe)","1","2","199453","spotify:user:becky1505","2016-06-10T10:48:31Z"
"spotify:track:34hoCwSsssai61QCqzGYtX","Bored To Death","blink-182","Bored To Death","1","1","235613","spotify:user:becky1505","2016-06-10T10:51:58Z"
"spotify:track:4jcNxHyK6WErwVNR5Gtop8","Wonderland","Caravan Palace","Wonderland - EP","1","1","190554","spotify:user:highzgal","2016-06-10T10:59:40Z"
"spotify:track:66JPfxQWHk0FGoEpAFkr9A","I Had A Woman","Wax Tailor","I Had a Woman","1","1","161373","spotify:user:highzgal","2016-06-10T11:04:39Z"
"spotify:track:5kqIPrATaCc2LqxVWzQGbk","7 Years","Lukas Graham","Lukas Graham","1","1","237300","spotify:user:cam_allen","2016-06-10T10:57:40Z"
"spotify:track:0c7au9ZbZzxeU2v7jVZzQa","Shape Shifter","They Might Be Giants","Phone Power","1","15","191720","spotify:user:astopy","2016-06-10T11:11:07Z"
"spotify:track:19A6DtYrz9n8FDvb7kMVVW","Don’t Lose Your Steam","Gregory Porter","Take Me To The Alley","1","2","197999","spotify:user:astopy","2016-06-10T11:11:07Z"
"spotify:track:1sgZBPMucywBHFCJcyGySA","I Got off the Bus","Richmond Fontaine","You Can't Go Back If There's Nothing to Go Back To","1","3","227626","spotify:user:astopy","2016-06-10T11:11:07Z"
"spotify:track:3iX0i5WCNgRd818zdMznzs","Altamira","Mark Knopfler, Evelyn Glennie","Altamira (Original Motion Picture Soundtrack)","1","1","179213","spotify:user:astopy","2016-06-10T11:11:07Z"
"spotify:track:7g50Vny9rKc6589ybcpIHv","Nuvole Bianche (White Clouds)","Christine Rayner","The Calm of Einaudi","1","1","369480","spotify:user:astopy","2016-06-10T11:11:07Z"
"spotify:track:6TubvpDV05llddNR8d2JNP","Silvera","Gojira","Silvera","1","1","212653","spotify:user:highzgal","2016-06-10T11:18:04Z"
