﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4ysiI2bYbXcGT8jMXEPQSk","Closer","Nine Inch Nails","The Downward Spiral","1","5","373306","spotify:user:alexbowyer","2015-10-02T08:14:27Z"
"spotify:track:0wjg8tYWZUUzRtFgPuDtzz","Jizz In My Pants","The Lonely Island","Incredibad","1","3","151346","spotify:user:215iyqxnackx5ekss5adqd73a","2015-10-02T08:48:23Z"
"spotify:track:2QJ2X1vKvNNO19LBjgu3zE","Bounce","Danko Jones","I'm Alive And On Fire","1","3","185666","spotify:user:215iyqxnackx5ekss5adqd73a","2015-10-02T08:50:38Z"
"spotify:track:3lN5s1PUKLrYIAesHq8kex","Me So Horny","2 LIVE CREW","As Clean As They Wanna Be","1","6","265093","spotify:user:1265334938","2015-10-02T16:00:42Z"
"spotify:track:2pBwAFqDVX3jE12IRm07pf","Je t'aime moi non plus","Serge Gainsbourg, Jane Birkin","Les 50 Plus Belles Chansons De Serge Gainsbourg","2","5","266800","spotify:user:alexbowyer","2016-04-22T22:50:32Z"
"spotify:track:7yjni3MklkYqBiI9naSJH0","Je t'aime moi non plus - Remastered","Jane Birkin & Serge Gainsbourg","Je t´aime moi non plus (Remastered)","1","1","263288","spotify:user:1265334938","2015-10-02T16:03:32Z"
"spotify:track:3H6JUtLbiZh07T7GLiuTON","My Neck, My Back","Khia","Thug Misses","1","1","222333","spotify:user:1265334938","2015-10-02T16:01:14Z"
"spotify:track:42et6fnHCw1HIPSrdPprMl","Semi-Charmed Life","Third Eye Blind","Third Eye Blind","1","3","268360","spotify:user:mrniaboc","2015-10-02T08:54:14Z"
"spotify:track:2KKBJHEvZP00gygdA7lEzz","Dinah-Moe Humm","Frank Zappa, The Mothers","Over-Nite Sensation","1","6","363733","spotify:user:1265334938","2015-10-02T16:02:20Z"
"spotify:track:7bt41cmNUkjCP8CQekIwBO","Sex Dwarf - Original Version","Soft Cell","Non Stop Erotic Cabaret (Deluxe Edition) [2CD set]","1","5","309661","spotify:user:1265334938","2015-10-02T16:02:58Z"
"spotify:track:28pHsII5hhYW5dNN3CWzsX","Fever For The Flava","Hot Action Cop","Hot Action Cop (Amended Version)","1","4","249133","spotify:user:mrniaboc","2015-10-02T08:55:00Z"
"spotify:track:2TfOb4GhLwC56V3RO0SeeQ","Push It","Salt-N-Pepa","The Best Of Salt-N-Pepa 20th Century Masters The Millennium Collection","1","1","268533","spotify:user:1265334938","2015-10-02T16:00:16Z"
"spotify:track:5TM2eqdzfWPHklI7YnBmsD","Blister In The Sun (Remastered Album Version)","Violent Femmes","Violent Femmes","1","1","144333","spotify:user:1264248857","2015-10-02T13:40:24Z"
"spotify:track:2KCJYwlBWxdlwyIYckIf6V","Rag Doll","Aerosmith","Permanent Vacation (Remastered)","1","3","265693","spotify:user:1264248857","2015-10-02T13:57:00Z"
"spotify:track:5M7lJJ2dqvl66VFlXIyHVZ","Star Me Kitten","R.E.M.","Automatic For The People (U.S. Version)","1","9","195866","spotify:user:1264248857","2015-10-02T13:49:45Z"
"spotify:track:5PtZZkNYizyl4tq4Ru6pCL","Let's Get High","Dr. Dre, Hittman, Ms. Roq, Kurupt","2001 (Explicit Version)","1","12","147446","spotify:user:mrniaboc","2015-10-02T08:56:36Z"
"spotify:track:4vk4WOyNox2MUod49fylnM","212","Azealia Banks, Lazy Jay","Broke With Expensive Taste","1","5","204879","spotify:user:mrniaboc","2015-10-02T08:59:00Z"
"spotify:track:5vvoFE63Z7yw2TTj4icSDn","Animals","Nickelback","All The Right Reasons","1","4","186600","spotify:user:215iyqxnackx5ekss5adqd73a","2015-10-02T09:03:57Z"
