﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4nJCE9UyNXhuERnSX8YgSH","1969","The Stooges","The Stooges","1","1","246773","spotify:user:eatyourgreens","2016-02-04T16:45:32Z"
"spotify:track:75rLEGZN20GoIbFlIlYhm8","I'm Not Like Everybody Else (Mono)","The Kinks","The Anthology 1964 - 1971","3","2","207373","spotify:user:eatyourgreens","2016-02-04T16:49:28Z"
"spotify:track:0HZlND4giwzgolBpaNIRGV","Aquarius / Let the Sunshine In (The Flesh Failures) - Remastered","The 5th Dimension","The Age Of Aquarius","1","1","289293","spotify:user:jordan-genus-and-species","2016-02-04T16:47:14Z"
"spotify:track:1S3YjMgKItd4QFkx1OMCkm","7 Heures du Matin","Jacqueline Taieb","The Shangri-Las & The '60s Girl Group Garage Sound","1","21","131466","spotify:user:jordan-genus-and-species","2016-02-04T16:48:00Z"
"spotify:track:7lF0U328NdKSIPXEOWEpea","Just Dropped In (To See What Condition My Condition Was In)","Kenny Rogers","Cruisin' To The Hits Of The '50s & '60s","1","4","202840","spotify:user:mrniaboc","2016-02-04T16:48:07Z"
"spotify:track:2LkaNhCrNVmcYgXJeLVmsw","The Sound of Silence","Simon & Garfunkel","The Graduate","1","1","185440","spotify:user:mrniaboc","2016-02-04T17:05:51Z"
"spotify:track:0cx32rX0uZvcJUP92Wkj2y","Wouldn't It Be Nice - 1999 - Remaster","The Beach Boys","The Beach Boys Love Songs","1","1","145106","spotify:user:jordan-genus-and-species","2016-02-04T16:48:44Z"
"spotify:track:4wUEyxnu0u0r5Ht2zLI79b","Shapes of Things","The Yardbirds","The Yardbirds Story - Pt. 3 - 1965/66 - Big Hits & America Calling","1","17","145960","spotify:user:eatyourgreens","2016-02-04T16:55:17Z"
"spotify:track:7opaItrGqxgqKUcOEl7uu4","Tin Soldier","Small Faces","Small Or Nothing","1","4","201160","spotify:user:eatyourgreens","2016-02-04T16:56:06Z"
"spotify:track:62Gy71Hb7nP7XtvgAyT0zV","No Milk Today (Re-Record)","Herman's Hermits","No Milk Today (Re-Record) - Single","1","1","199413","spotify:user:alexbowyer","2016-02-04T16:50:06Z"
"spotify:track:3iSws76HjaU7k49EqJVTfF","Sugar, Sugar","The Archies","The Very Best Of "The Archies"","1","2","167186","spotify:user:alexbowyer","2016-02-04T16:51:46Z"
"spotify:track:5TBtYdgh70ZKnZbEJ3KZvR","Set The Controls For The Heart Of The Sun - 2011 Remastered Version","Pink Floyd","A Saucerful Of Secrets (2011 Remastered Version)","1","3","327986","spotify:user:s1mo80","2016-02-04T16:54:14Z"
"spotify:track:3GmQBCSYmD0Bh4O0mky3gD","Leader Of The Pack","The Shangri-Las","The Best Of The Shangri-Las","1","2","171333","spotify:user:alexbowyer","2016-02-04T16:58:01Z"
"spotify:track:2JlvOz28WzBmvost7uBCHt","A Day In The Life - Remastered 2010","The Beatles","The Beatles 1967 - 1970 (Remastered)","1","6","307680","spotify:user:alexbowyer","2016-02-04T16:58:49Z"
"spotify:track:5ILumokzwPbOjc78BovKEZ","You Don't Own Me","Lesley Gore","Her Very Best","1","6","152080","spotify:user:trinity3infinity","2016-02-04T17:02:51Z"
"spotify:track:4kP69y3GKHi9tXckfgp4bK","For Once In My Life","Stevie Wonder","For Once In My Life","1","1","170600","spotify:user:trinity3infinity","2016-02-04T17:06:31Z"
"spotify:track:4D0BiMiLN6z2x7Tq9BcqoT","You Really Got Me","The Kinks","The Ultimate Collection","1","1","133813","spotify:user:alexbowyer","2016-02-04T17:04:10Z"
"spotify:track:45s88Xopo6KvHc0PQ05aGg","My Generation","The Who","The Who Sings My Generation","1","6","198866","spotify:user:jordan-genus-and-species","2016-02-04T17:04:37Z"
"spotify:track:5zYB1JqVo1tQbI8A1oW8Ks","Here Comes My Baby","The Tremeloes","Here Comes My Baby - The Ultimate Collection","1","1","182600","spotify:user:mrniaboc","2016-02-04T17:06:05Z"
"spotify:track:6uGE4CRLGBmE3LQI2jckjS","Father Cannot Yell","CAN","Monster Movie (Remastered)","1","1","426626","spotify:user:s1mo80","2016-02-04T17:14:43Z"
