﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2zYzyRzz6pRmhPzyfMEC8s","Highway to Hell","AC/DC","Highway to Hell","1","1","208400","spotify:user:215iyqxnackx5ekss5adqd73a","2016-08-19T11:27:15Z"
"spotify:track:2oSpQ7QtIKTNFfA08Cy0ku","It's the End of the World As We Know It (And I Feel Fine)","R.E.M.","Document (R.E.M. No. 5)","1","6","246933","spotify:user:215iyqxnackx5ekss5adqd73a","2016-08-19T11:27:35Z"
"spotify:track:7xdLNxZCtY68x5MAOBEmBq","All Along the Watchtower","Jimi Hendrix","Experience Hendrix: The Best Of Jimi Hendrix","1","5","238626","spotify:user:martenveldthuis","2016-08-19T11:29:18Z"
"spotify:track:6NxsCnLeLd8Ai1TrgGxzIx","Bad Moon Rising","Creedence Clearwater Revival","Green River (40th Anniversary Edition)","1","5","141600","spotify:user:215iyqxnackx5ekss5adqd73a","2016-08-19T11:34:23Z"
"spotify:track:5QTxFnGygVM4jFQiBovmRo","(Don't Fear) The Reaper","Blue Öyster Cult","Agents Of Fortune","1","3","308120","spotify:user:215iyqxnackx5ekss5adqd73a","2016-08-19T11:34:50Z"
"spotify:track:6Olka1slclECvusZ20drqN","Hell March","EA Games Soundtrack, Frank Klepacki","Command & Conquer™: The Ultimate Music Collection","1","3","383173","spotify:user:martenveldthuis","2016-08-19T11:38:30Z"
"spotify:track:4DMKwE2E2iYDKY01C335Uw","Carry on Wayward Son","Kansas","Leftoverture","1","1","323000","spotify:user:215iyqxnackx5ekss5adqd73a","2016-08-19T11:40:53Z"
"spotify:track:00YB2vQANpdgK7FGwFLqbG","The Valkyrie: Ride Of The Valkyries","London Philharmonic Orchestra, David Parry","The 50 Greatest Pieces Of Classical Music","1","5","311320","spotify:user:astopy","2016-08-19T12:50:09Z"
"spotify:track:5UgT7w6zVZjP3oyawMzbiK","The End","The Doors","The Doors","1","11","703373","spotify:user:astopy","2016-08-19T12:50:09Z"
"spotify:track:6TEVFttBadrsDhlpQJRIK0","We Gotta Get Out Of This Place (Re-Recorded)","The Animals","60s Classics","2","13","308826","spotify:user:astopy","2016-08-19T12:50:09Z"
"spotify:track:4R6Yt1a8WR5lHzB8CfoJdX","Still Alive","Aperture Science Psychoacoustic Laboratories","Portal 2: Songs to Test By (Collectors Edition)","4","12","177212","spotify:user:astopy","2016-08-19T12:50:09Z"
"spotify:track:1ImTUxiLHYr5AaZhNXWdEi","Looks Like I'm Up Shit Creek Again","Tom Waits","The Early Years Vol. 1","1","12","183159","spotify:user:astopy","2016-08-19T12:50:09Z"
"spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1","Where Is My Mind?","Pixies","Surfer Rosa (Remastered)","1","7","236973","spotify:user:cam_allen","2016-08-19T13:20:34Z"
"spotify:track:2kmOzndbVl8GomtgVGmEHS","At The End Of The Day","Amon Tobin","Foley Room","1","12","192200","spotify:user:cam_allen","2016-08-19T13:21:48Z"
"spotify:track:2Lx9qpN7NgiWD4rgSQRBGH","Midnight In A Perfect World","DJ Shadow","Endtroducing.....","1","13","298373","spotify:user:cam_allen","2016-08-19T13:22:22Z"
"spotify:track:7BAnSiGAuKheEcnZnL0Kxs","The Day The World Went Away","Nine Inch Nails","The Fragile","1","2","273666","spotify:user:cam_allen","2016-08-19T13:27:32Z"
"spotify:track:6uz3fmds1X0YvxFp9KOmFs","Shut 'Em Up","The Prodigy, Public Enemy, Manfred Mann","The Day Is My Enemy (Expanded Edition)","1","16","260000","spotify:user:cam_allen","2016-08-19T13:28:33Z"
"spotify:track:6kmf71ZNFFuaQ6MvRlryh0","The Cry of Mankind","My Dying Bride","The Angel & the Dark River","1","1","733333","spotify:user:s1mo80","2016-08-19T14:15:21Z"
