﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0F56U0Bvvjh0QcqG21USyO","Walk Like A Zombie","Horrorpops","Bring It On!","1","9","247053","spotify:user:trinity3infinity","2015-10-29T20:14:14Z"
"spotify:track:1eK5Ne2YPvP3XC7uOoCnRW","Creepy Doll","Jonathan Coulton","JoCo Looks Back","1","15","241066","spotify:user:alexbowyer","2015-11-03T16:51:20Z"
"spotify:track:1VgRsi9Rcun5ilG3jX3GnG","Zombies Ate Her Brain","The Creepshow","Sell Your Soul","1","8","89920","spotify:user:trinity3infinity","2015-10-29T20:16:27Z"
"spotify:track:6GmL39a9OazWtyMkAbJz7v","Monster Mash","Bobby "Boris" Pickett","Monster Mash","1","1","191506","spotify:user:jordan-genus-and-species","2015-10-29T20:14:22Z"
"spotify:track:1QUXgI2yyMTx88kwQ8dA8Y","Werewolf Bar Mitzvah","Jeff Richmond","30 Rock (Original Television Soundtrack)","1","21","172733","spotify:user:jordan-genus-and-species","2015-10-29T20:14:01Z"
"spotify:track:38wUVL37SunVPDoOHO8n3B","BRAINS! (from the Cartoon Network's GRIM AND EVIL)","Voltaire, Aurelio Voltaire","BOO HOO","1","10","311946","spotify:user:trinity3infinity","2015-10-29T20:18:37Z"
"spotify:track:2IZZqH4K02UIYg5EohpNHF","Zombie","The Cranberries","No Need To Argue","1","4","306410","spotify:user:jordan-genus-and-species","2015-10-29T20:20:43Z"
"spotify:track:31bmMqEuhkIzMNH3VWzDly","Nobody Likes You (When You're Dead)","Zombina & The Skeletones","Taste The Blood Of...","1","2","124482","spotify:user:trinity3infinity","2015-10-29T20:26:56Z"
"spotify:track:33nNcxnspmeoNGcz6uyYhZ","Liquor Pang (feat. Josh Cohen and Ryan Scully from the Morning 40 Federation)","Galactic, Josh Cohen and Ryan Scully from the Morning 40 Federation","Ya-Ka-May [Deluxe Edition]","1","11","203128","spotify:user:saschaishikawa","2015-10-29T20:46:33Z"
"spotify:track:79Pa813YlWXP5YFQwo0bIz","Climbing Up The Walls","Radiohead","OK Computer","1","9","285200","spotify:user:saschaishikawa","2015-10-29T20:46:35Z"
"spotify:track:4cLh48mq3xUmmY1x7G3HqU","Bocanegra","Sonido Gallo Negro","Cumbia Salvaje","1","1","264986","spotify:user:saschaishikawa","2015-10-29T20:46:40Z"
"spotify:track:6rwLtRuaqGi0hC9604Wydm","Blackbird","Fat Freddy's Drop","Blackbird (Deluxe)","1","1","567458","spotify:user:saschaishikawa","2015-10-29T20:46:47Z"
"spotify:track:1FQ19KLC4HCU4k98M5g2gj","Zion's Blood","The Upsetters","Lee 'Scratch' Perry & the Upsetters: Super Ape & Return of the Super Ape","1","1","236373","spotify:user:saschaishikawa","2015-10-29T20:46:50Z"
"spotify:track:7ozMJf8OMc9vRcZmAN8wPt","Somebody's Watching Me","Rockwell","Motown: The Complete No. 1's","8","8","237026","spotify:user:jordan-genus-and-species","2015-10-29T21:12:21Z"
"spotify:track:7ImkjvM1OKWhJ5HIPOHcHE","Walking With a Ghost","Tegan and Sara","So Jealous","1","8","150293","spotify:user:jordan-genus-and-species","2015-10-29T21:13:10Z"
"spotify:track:5u72Vlsj6XLEOvx5TLTJMC","The Twilight Zone","Twilight Zone","TV Hits Volume 1","1","10","53800","spotify:user:jordan-genus-and-species","2015-10-29T21:13:25Z"
"spotify:track:6cG2Iwn2apC1Icoj6H7n6s","(She's My) Vampire Girl","Groovie Ghoulies","Go! Stories","1","15","133546","spotify:user:eatyourgreens","2015-10-29T21:39:57Z"
"spotify:track:3sEQf5AuiphddGXRIWBcO9","I Was A Teenage Werewolf - 1989 Digital Remaster","The Cramps","Songs The Lord Taught Us","1","4","183866","spotify:user:eatyourgreens","2015-10-29T21:42:33Z"
"spotify:track:7t16Rx7rZ65e2UzNychOxU","Zombie Crush","Zombina & The Skeletones","A Tribute To The Groovie Ghoulies - When The Kids Go Go Go Crazy","1","28","129186","spotify:user:eatyourgreens","2015-10-29T21:48:17Z"
"spotify:track:0JfWS5txNJcbTHnJavTImO","Bela Lugosi’s Dead","Bauhaus","Bauhaus - 1979-1983 Volume One","1","5","579226","spotify:user:eatyourgreens","2015-10-29T21:51:55Z"
"spotify:track:1s4Ie0cT6P73SRSfh3oyGW","The Number Of The Beast - 1998 Remastered Version","Iron Maiden","The Number Of The Beast (1998 Remastered Edition)","1","5","291373","spotify:user:eatyourgreens","2015-10-29T21:52:24Z"
"spotify:track:1Gzlrm9Hq8b05TMYXgZ0Wq","Sally's Song","Catherine O'Hara","The Nightmare Before Christmas","1","14","107666","spotify:user:cmk82","2015-10-30T09:54:25Z"
"spotify:track:63y2aL2dT6zzw8FOSLaNrp","This Is Halloween","Disney Characters","The Nightmare Before Christmas","1","3","196186","spotify:user:cmk82","2015-10-30T09:56:15Z"
"spotify:track:38RUyYciFEgrSqrJsk03Pj","Fashion Zombies!","The Aquabats!","Charge!!","1","2","196240","spotify:user:martenveldthuis","2015-10-30T10:08:08Z"
"spotify:track:3S2R0EVwBSAVMd5UMgKTL0","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition","1","4","357266","spotify:user:cmk82","2015-10-30T14:06:10Z"
