﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6jWkZvd1URGktyTTwcpPpB","My Girl","The Temptations","The Temptations Sing Smokey","1","3","165000","spotify:user:jordan-genus-and-species","2016-04-01T00:21:41Z"
"spotify:track:7uhGHDIJCKP5mbC0WidMAS","Blue Sky","The Allman Brothers Band","Eat A Peach (Deluxe Edition)","1","8","309386","spotify:user:jordan-genus-and-species","2016-04-01T00:35:36Z"
"spotify:track:5bCzyMvtNjYjUzLtrpvqYo","Sweetness - Remastered","Yes","Yes (Deluxe Version)","1","7","273226","spotify:user:jordan-genus-and-species","2016-04-01T00:36:52Z"
"spotify:track:0HZlND4giwzgolBpaNIRGV","Aquarius / Let the Sunshine In (The Flesh Failures) - Remastered","The 5th Dimension","The Age Of Aquarius","1","1","289293","spotify:user:jordan-genus-and-species","2016-04-01T00:37:30Z"
"spotify:track:2NVaKeIAUZwN5tXnn12EMi","The Breeze","Dr. Dog","Fate","1","1","239093","spotify:user:jordan-genus-and-species","2016-04-01T00:38:33Z"
"spotify:track:7HX9f8AMBl0vQxAoAzLqhS","You Make My Dreams - Remastered","Daryl Hall & John Oates","The Very Best of Daryl Hall / John Oates","1","7","187600","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-04-01T10:02:41Z"
"spotify:track:0iOZM63lendWRTTeKhZBSC","Mrs. Robinson","Simon & Garfunkel","Bookends","1","10","244026","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-04-01T10:06:22Z"
"spotify:track:3yrSvpt2l1xhsV9Em88Pul","Brown Eyed Girl","Van Morrison","Blowin' Your Mind!","1","1","183306","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-04-01T10:06:44Z"
"spotify:track:77hnaMWVXbU4IkXbCKODo0","Here Comes the Sun","Fred Benedetti, Peter Pupping","Here Comes the Sun - Acoustic Guitar Classics Vol. 1","1","1","166306","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-04-01T10:13:18Z"
"spotify:track:1XxCiPw07rd1ytYnE7SoJI","Road Trippin'","Red Hot Chili Peppers","Californication (Deluxe Version)","1","15","204973","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2016-04-01T10:14:43Z"
"spotify:track:394gXybJQ60LluiWyQHGv6","Dirty Mind","The Pipettes","We Are The Pipettes","1","4","163200","spotify:user:becky1505","2016-04-01T10:26:02Z"
"spotify:track:2iXdwVdzA0KrI2Q0iZNJbX","Better Together","Jack Johnson","In Between Dreams","1","1","207680","spotify:user:becky1505","2016-04-01T10:26:30Z"
"spotify:track:0n51UN1pxR2ZKgCCiJTpO5","Waitin' on a Sunny Day - The Song","Bruce Springsteen","Waitin' On A Sunny Day","1","1","256373","spotify:user:becky1505","2016-04-01T10:27:44Z"
"spotify:track:2UKYMN7VnsQo40n0qCt6Sa","Porcelain","Moby","Play & Play: B Sides","1","3","241173","spotify:user:becky1505","2016-04-01T10:28:31Z"
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","Grouplove","Never Trust A Happy Song","1","2","218013","spotify:user:becky1505","2016-04-01T10:34:48Z"
"spotify:track:5FlLvXBexSInUXW4msvnE4","Poisoning Pigeons In The Park - Live","Tom Lehrer","Tom Lehrer In Concert","1","1","169784","spotify:user:116001551","2016-04-01T10:59:22Z"
"spotify:track:45yEy5WJywhJ3sDI28ajTm","Here Comes The Sun - Remastered 2009","The Beatles","Abbey Road (Remastered)","1","7","185733","spotify:user:alexbowyer","2016-04-01T11:30:56Z"
"spotify:track:0gzqZ9d1jIKo9psEIthwXe","Beautiful Day","U2","All That You Can't Leave Behind","1","1","248400","spotify:user:alexbowyer","2016-04-01T11:38:03Z"
"spotify:track:0GvAi1lFRDLXkPr9Y7WFkD","Morning Has Broken","Cat Stevens","Teaser and the Firecat (Deluxe Edition)","1","7","200000","spotify:user:alexbowyer","2016-04-01T11:38:46Z"
"spotify:track:45snfGBgpEPQnS1DjspBYn","Feel Again - With Heartbeats","OneRepublic","Native","1","4","185080","spotify:user:alexbowyer","2016-04-01T11:40:56Z"
"spotify:track:4MlaCbydJnw1egT213Y1FZ","It's Just Not Cricket","The Duckworth Lewis Method","Sticky Wickets","1","3","204653","spotify:user:116001551","2016-04-01T11:47:01Z"
"spotify:track:3kNDfkkDd7G91NA8HlYJS4","Last Days Of Winter - Remastered Version","Levellers","Levelling The Land (Remastered Version)","1","12","145399","spotify:user:alexbowyer","2016-04-01T11:47:31Z"
"spotify:track:6p2XXeslyqOvCgiv2SK90E","Sunshine On a Rainy Day","Zoe","Renaissance The Classics","2","8","287280","spotify:user:116001551","2016-04-01T11:49:27Z"
"spotify:track:6UjK1J04qlrvP13N2SgdVE","Getting Better","Shed Seven","Shed Seven / The Singles Collection","1","7","252633","spotify:user:116001551","2016-04-01T11:52:01Z"
"spotify:track:1vhlVbHnbKJPD7pqCC0cE7","Iko Iko","Dr. John","Dr. John's Gumbo (US Release)","1","1","248560","spotify:user:116001551","2016-04-01T11:53:49Z"
"spotify:track:5nI7S08Wd8OQolxjwDFZjE","Springtime for Hitler - Part I","Mel Brooks, Original Motion Picture Soundtrack","The Producers (Original Motion Picture Soundtrack)","1","12","220773","spotify:user:eatyourgreens","2016-04-01T13:41:48Z"
"spotify:track:2wpB8VcHC35cyjrFpohLHR","New York City","Cub","Come Out, Come Out","1","10","180133","spotify:user:trinity3infinity","2016-04-01T13:46:47Z"
"spotify:track:5qzhzPTWQ8SiZl1IghCfDo","Throwaway Style","The Exploding Hearts","Guitar Romantic","1","7","178120","spotify:user:theegrange","2016-04-01T14:02:44Z"
"spotify:track:3iDGKn7VAFqTBb6LT7oL4s","Hey! Little Child","Alex Chilton","Like Flies On Sherbert/Feudalist Tarts/No Sex","1","3","223466","spotify:user:theegrange","2016-04-01T14:05:11Z"
"spotify:track:471Z75WjIwUfeUdUvcYLYF","Light & Day / Reach For The Sun","The Polyphonic Spree","The Beginning Stages of...","1","9","203306","spotify:user:trinity3infinity","2016-04-01T14:05:09Z"
