﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:29b2b96jozyD9GPCkOrVLs","Day Tripper - Remastered 2015","The Beatles","1 (Remastered)","1","12","169000","spotify:user:jordan-genus-and-species","2016-06-23T17:43:33Z"
"spotify:track:4keAoywVf4jxRvXU7ON0hV","Salad Days","Mac Demarco","Salad Days","1","1","145893","spotify:user:jordan-genus-and-species","2016-06-23T17:42:56Z"
"spotify:track:2fl0B0OaXjWbjHCQFx2O8W","Summer Friends (feat. Jeremih & Francis & The Lights)","Chance The Rapper, Jeremih, Francis and the Lights","Coloring Book","1","3","290316","spotify:user:jordan-genus-and-species","2016-06-23T17:42:40Z"
"spotify:track:58YwCmOv3SBpoh4NijoFJM","When The Sun Don't Shine","Best Coast","Crazy For You","1","8","136400","spotify:user:jordan-genus-and-species","2016-06-23T17:41:49Z"
"spotify:track:2K1meYaIxerapOrEief7JH","Mar (Lo Que Siento)","Bomba Estéreo","Amanecer","1","8","229546","spotify:user:jordan-genus-and-species","2016-06-23T17:45:39Z"
"spotify:track:43DeSV93pJPT4lCZaWZ6b1","The Boys Are Back In Town","Thin Lizzy","Jailbreak (Deluxe Edition)","1","6","266720","spotify:user:theegrange","2016-06-23T17:47:47Z"
"spotify:track:3ktGUB1ntcoV55aW2kg0L8","Welfare Bread","King Khan and the Shrines","What Is?!","1","3","248173","spotify:user:theegrange","2016-06-23T17:47:58Z"
"spotify:track:0M1UFbkqd3YwCK539065gk","Teenage Kicks","The Undertones","The Undertones","1","5","148480","spotify:user:theegrange","2016-06-23T17:49:22Z"
"spotify:track:3tPh7vkXySn2lUEH1NEPyO","Beach Comber","Real Estate","Real Estate","1","1","268466","spotify:user:theegrange","2016-06-24T04:15:14Z"
"spotify:track:6wtmql7FJ7SSLuSw8JD8rX","Spanish Bombs","The Clash","London Calling","1","6","198866","spotify:user:theegrange","2016-06-24T04:16:01Z"
"spotify:track:5C0kDdWBGh6mSpkoR6JKEC","Here Comes The Summer - Single version","The Undertones","The Undertones","1","8","105266","spotify:user:eatyourgreens","2016-06-24T10:35:07Z"
"spotify:track:65jrjEhWfAvysKfnojk1i0","Under The Boardwalk","The Drifters","Under The Boardwalk","1","2","161960","spotify:user:eatyourgreens","2016-06-24T10:35:26Z"
"spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b","Surfin' U.S.A.","The Beach Boys","Surfin' USA (2001 - Remaster)","1","1","149373","spotify:user:eatyourgreens","2016-06-24T10:36:20Z"
"spotify:track:4W4wYHtsrgDiivRASVOINL","Love Shack","The B-52's","Cosmic Thing","1","4","320680","spotify:user:eatyourgreens","2016-06-24T10:37:07Z"
"spotify:track:0Ylaocf86J0PZAhjAP8wzl","Doin' Time","Sublime","Sublime","1","17","253333","spotify:user:cam_allen","2016-06-24T10:39:27Z"
"spotify:track:5Boovfc9XolSKExXapeWoQ","Morning Sun","Plump DJs, Lou Robinson","Eargasm","1","6","292400","spotify:user:cam_allen","2016-06-24T10:39:45Z"
"spotify:track:6l0LbTF2V77M3LPpcOBmqX","Halcyon And On And On","Orbital","Orbital 2","1","9","567106","spotify:user:cam_allen","2016-06-24T10:39:59Z"
"spotify:track:4u1y0O2NJQ8WRieksgUxKn","Summertime - Hybrid Mix","The Fresh Prince, DJ Jazzy Jeff, Hybrid","The Essential Old School Vs. New School","1","13","398506","spotify:user:cam_allen","2016-06-24T10:40:16Z"
"spotify:track:05wIrZSwuaVWhcv5FfqeH0","Walking On Sunshine","Katrina & The Waves","Katrina & The Waves","1","6","238733","spotify:user:eatyourgreens","2016-06-24T10:41:42Z"
