﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1fEpXFHgkVeWbPGdjIru8n","Ain't Necessarily So","Bronski Beat","The Very Best Of Jimmy Somerville, Bronski Beat And The Communards","1","17","246400","spotify:user:eatyourgreens","2016-01-29T11:13:58Z"
"spotify:track:0o5hrhmKYexfoORHD4YXgT","I Wan'na Be Like You [The Monkey Song]","Los Lobos","Just Another Band From East L.A.: A Collection","1","22","197733","spotify:user:eatyourgreens","2016-01-29T11:15:07Z"
"spotify:track:4YidEz8xGN9NZeUXFc94yw","The Internet Is for Porn","Stephanie D'Abruzzo, Rick Lyon, Avenue Q Ensemble","Avenue Q (Original Broadway Cast Recording)","1","6","179253","spotify:user:alexbowyer","2016-01-29T11:16:25Z"
"spotify:track:1UmIWsuzcitp1VhsEKviJZ","Your Song - From "Moulin Rouge" Soundtrack","Ewan McGregor, Alessandro Safina","Moulin Rouge [Soundtrack (International Version)]","1","6","218773","spotify:user:alexbowyer","2016-01-29T11:17:19Z"
"spotify:track:0OKrEXae8BSelUqgcxZM4W","Baba O'Riley - Live","Blue Man Group","How To Be A Megastar Live","1","18","300413","spotify:user:alexbowyer","2016-01-29T11:18:38Z"
"spotify:track:0yM3VmM8gHEVGViKvAbQkc","Defying Gravity - Original Cast Recording/2003","Kristin Chenoweth, Idina Menzel","Wicked","1","11","353920","spotify:user:cmk82","2016-01-29T11:17:53Z"
"spotify:track:2dbse5pUdn4SKGTxs3y6Ss","The Phantom Of The Opera - Edit","Phantom Of The Opera Original London Cast","Highlights From Phantom Of The Opera","1","5","257240","spotify:user:cmk82","2016-01-29T11:18:29Z"
"spotify:track:5g3ER8mhyQMav1PPU5OpTR","Cruella Deville","The Replacements","All For Nothing/Nothing For All","2","9","132133","spotify:user:eatyourgreens","2016-01-29T11:20:40Z"
"spotify:track:6sc57WRk8SaX758FnBsJqN","Be Our Guest (Beauty And The Beast)","Jerry Orbach, Angela Lansbury, Chorus - Beauty And the Beast","Pure Disney","1","9","222772","spotify:user:eatyourgreens","2016-01-29T11:34:51Z"
"spotify:track:1T5t8mYCEihHpd9JOdLrd3","West Side Story: Tonight","Jim Bryant, Original Motion Picture Soundtrack, Marni Nixon","West Side Story","1","8","400466","spotify:user:alexbowyer","2016-01-29T11:20:08Z"
"spotify:track:2IzUfd8Dv5wfvLoe8yfpNA","Down Town","Petula Clark","The Very Best Of Petula Clark","1","1","198666","spotify:user:alexbowyer","2016-01-29T11:23:22Z"
"spotify:track:5YqvkVKNd7h6v9roGNA9EL","Suddenly, Seymour","Little Shop Of Horrors - Original UK Cast","Little Shop of Horrors - Original UK Cast Recording","1","9","228640","spotify:user:trinity3infinity","2016-01-29T14:25:25Z"
"spotify:track:1L6NSZq5R7lMcVw0YOrUE9","Do-Re-Mi","Julie Andrews, Charmian Carr, Heather Menzies, Nicholas Hammond, Duane Chase, Angela Cartwright, Debbie Turner, Kym Karath","The Sound of Music - Original Soundtrack Recording","1","8","332600","spotify:user:trinity3infinity","2016-01-29T14:55:28Z"
"spotify:track:09A3h69MwC2eKqtIEMmKd1","Frank Mills","The Lemonheads","It's A Shame About Ray","1","12","104346","spotify:user:eatyourgreens","2016-01-29T14:49:27Z"
"spotify:track:6Uuk5VMzGSOvDGuRwQxn5S","Hasa Diga Eebowai","Michael Potts, Andrew Rannells, Josh Gad, Michael James Scott, Lawrence Stallings, Rema Webb, Maia Nkenge Wilson, Tommar Wilson, Darlesia Cearcy, John Eric Parker, Ta'Rea Campbell, Tyson Jennette, Brian Tyree Henry","The Book of Mormon","1","4","264573","spotify:user:1264248857","2016-01-29T14:50:51Z"
"spotify:track:3lCAzSieBflwuKh3KTMgb7","Almost Like Being In Love (From: Brigadoon)","The Original Broadway Cast Of Brigadoon","Brigadoon","1","9","183632","spotify:user:1264248857","2016-01-29T14:51:44Z"
"spotify:track:3QLxokgUT5FZYaeTyDDyNz","Luck Be a Lady","Guys and Dolls Ensemble (1992), Peter Gallagher","Guys and Dolls (New Broadway Cast Recording (1992))","1","17","182466","spotify:user:1264248857","2016-01-29T14:53:44Z"
"spotify:track:0LZAZj3B9eVnJxMwrhBJtF","A Whole New World - From "Aladdin"/ Soundtrack Version","Lea Salonga, Brad Kane","Disney Princess: The Ultimate Song Collection","1","3","161506","spotify:user:trinity3infinity","2016-01-29T15:07:40Z"
"spotify:track:5wgoBh0FCuF72dpBbt8z0w","The Worst Pies in London","Angela Lansbury","Legends of Broadway - Angela Lansbury","1","12","146413","spotify:user:trinity3infinity","2016-01-29T15:10:18Z"
"spotify:track:7jVy872A5uT38M2mEK92Ze","Chim Chim Cher-ee - From "Mary Poppins"","Dick Dyke, Julie Andrews, Karen Dotrice, Matthew Garber","Mary Poppins Original Soundtrack","1","14","166600","spotify:user:trinity3infinity","2016-01-29T15:12:41Z"
"spotify:track:2TK2KSrzXD6W01qjXVjNGh","The Room Where It Happens","Leslie Odom Jr., Lin-Manuel Miranda, Daveed Diggs, Okieriete Onaodowan, Original Broadway Cast of Hamilton","Hamilton (Original Broadway Cast Recording)","2","5","318214","spotify:user:irregulargalaxies","2016-01-29T16:06:18Z"
"spotify:track:556aUAoip01OXQhrX3Mz3W","Skid Row (Downtown)","Soundtrack/Cast Album","Little Shop Of Horrors (New Broadway Cast)","1","2","245280","spotify:user:irregulargalaxies","2016-01-29T16:06:34Z"
