﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2sEe82TGwnZvUtWgdvRo8P","Wessex Boy","Frank Turner","England Keep My Bones (Deluxe Edition)","1","9","213840","spotify:user:alexbowyer","2015-08-28T11:01:15Z"
"spotify:track:3ZVMF3efMRiyFZbSQmonMe","LDN","Lily Allen","Alright, Still [Deluxe]","1","3","190773","spotify:user:alexbowyer","2015-08-28T11:01:35Z"
"spotify:track:5JF3nZVj146b99HyfxAGnp","Girl From Mars - 2008 Remastered Version","Ash","1977 [Collectors Edition]","1","3","210200","spotify:user:alexbowyer","2015-08-28T11:03:55Z"
"spotify:track:29PIvLcTJMyPB8RHPOtRcY","Blaydon Races","David Haslam, Northern Sinfonia, Little Billy Fane","Geordies Hear/From Quay to Coast","1","2","232106","spotify:user:alexbowyer","2015-08-28T11:14:06Z"
"spotify:track:1KtMazpCseJ2TjKPas4d7h","Big In Japan - Original","Alphaville","Forever Young","1","3","286160","spotify:user:alexbowyer","2015-08-28T11:21:13Z"
"spotify:track:2wPHe2ecCdkT0ly0km12g4","Sweet Home Chicago","Robert Johnson","King Of The Delta Blues","1","16","176626","spotify:user:116001551","2015-08-28T11:25:12Z"
"spotify:track:7Ay1lHxhuM33NoXKsS0iom","Oxford Town","Bob Dylan","The Freewheelin' Bob Dylan","1","9","107226","spotify:user:116001551","2015-08-28T11:25:47Z"
"spotify:track:70HzrQxN2ICmGy9xtSETyl","The Bay","Metronomy","We Love Green","1","8","290173","spotify:user:116001551","2015-08-28T11:26:09Z"
"spotify:track:6wpGAYG8soP1ARn1RsttrJ","Mary Magdalene","Renee Heartfelt","Magdalene","1","1","258053","spotify:user:116001551","2015-08-28T11:28:17Z"
"spotify:track:0y8zZOu4u6NmoW7u1jEQzo","London's Burning","The Clash","The Clash","1","8","131280","spotify:user:116001551","2015-08-28T11:28:42Z"
"spotify:track:7KfwFXww7DkAfJhJTLCiF1","Moonshadow","Cat Stevens","Teaser and the Firecat (Deluxe Edition)","1","9","172533","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2015-08-28T11:34:29Z"
"spotify:track:2wdkUQIPQ8ktcDpYWRMvLJ","Loch Lomond - Live","Runrig","Alba - The Best Of Runrig","1","12","384266","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2015-08-28T11:38:02Z"
"spotify:track:09igv60OqMdmu8FC1hWxdL","Georgia On My Mind","Tommy Emmanuel","CENTER STAGE","1","15","310520","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2015-08-28T11:41:09Z"
"spotify:track:5e7nN1fOaDtRFUmbvwUTxc","Miss Louisiana","Terminal","How The Lonely Keep","1","5","195160","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2015-08-28T11:46:59Z"
"spotify:track:4SXbSQv7OuCVnNCoV34NRQ","Sahara","Nightwish","Dark Passion Play","1","7","347402","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2015-08-28T11:50:19Z"
"spotify:track:1rJvaquOqAd353fzF8VAld","Manhattan","Cat Power","Sun","1","8","316386","spotify:user:128278286","2015-08-28T11:40:37Z"
"spotify:track:5nHRIKsXDwUpse9gzrAxLR","Oxford Comma (Album)","Vampire Weekend","Vampire Weekend","1","2","195733","spotify:user:128278286","2015-08-28T11:44:11Z"
"spotify:track:6gRACp2CvsIhc7hyw8CecQ","The Devil Went Down to Georgia","The Charlie Daniels Band","Million Mile Reflections","1","6","215066","spotify:user:128278286","2015-08-28T11:44:58Z"
"spotify:track:5pSCzcnZYCP9EywqRLYRs9","I'm On A Boat","The Lonely Island, T-Pain","Incredibad","1","4","156266","spotify:user:128278286","2015-08-28T11:49:53Z"
"spotify:track:6WXF2wCb3yeTuoGFyP7U5C","Under The Sea - From "The Little Mermaid"/Soundtrack","Samuel E. Wright","The Little Mermaid Greatest Hits","1","3","193600","spotify:user:128278286","2015-08-28T11:50:37Z"
"spotify:track:6WzAjOZfTwFBtyX7apVMUN","Chicago","Sufjan Stevens","Illinois","1","9","364613","spotify:user:bdisraeli","2015-08-28T11:54:25Z"
"spotify:track:36DRRyVWwc0aypv0vaS9AL","The Battle Of Hampton Roads","Titus Andronicus","The Monitor","1","10","841946","spotify:user:bdisraeli","2015-08-28T11:54:47Z"
"spotify:track:2374M0fQpWi3dLnB54qaLX","Africa","Toto","Toto IV","1","10","295893","spotify:user:1264248857","2015-08-28T12:13:08Z"
"spotify:track:46RVKt5Edm1zl0rXhPJZxz","Down Under","Men At Work","The Best Of Men At Work: Contraband","1","2","220866","spotify:user:1264248857","2015-08-28T12:14:58Z"
"spotify:local:Billy+Joel:Greatest+Hits%2C+Vol.+2+%281978-1985%29+%5BDisc+2%5D:Uptown+Girl:196","Uptown Girl","Billy Joel","Greatest Hits, Vol. 2 (1978-1985) [Disc 2]","0","0","196000","spotify:user:1264248857","2015-08-28T12:15:36Z"
"spotify:local:Abba:Gold%3AGreatest+Hits:Waterloo:167","Waterloo","Abba","Gold:Greatest Hits","0","0","167000","spotify:user:1264248857","2015-08-28T12:16:58Z"
"spotify:track:0dOg1ySSI7NkpAe89Zo0b9","Born in the U.S.A.","Bruce Springsteen","Born In The U.S.A.","1","1","278680","spotify:user:1264248857","2015-08-28T12:21:07Z"
"spotify:track:3a8tAZFJxlmBwOtrf5L1oC","6 God","Drake","If You're Reading This It's Too Late","1","7","180666","spotify:user:bdisraeli","2015-08-28T12:27:13Z"
"spotify:track:2vfvGlqCB7oertO5VLE0sz","ATLiens","OutKast","ATLiens","1","3","230693","spotify:user:bdisraeli","2015-08-28T12:28:39Z"
"spotify:track:3mSgEsdhco8LaN0gGsS14o","Perth","Bon Iver","Bon Iver","1","1","262079","spotify:user:bdisraeli","2015-08-28T12:32:17Z"
"spotify:track:6uVmUhL8DZTwb3O54rmGkc","The Nile Song - 2011 Remastered Version","Pink Floyd","More (Original Film Sountrack) [2011 - Remaster] [2011 Remastered Version]","1","2","206960","spotify:user:s1mo80","2015-08-28T12:47:24Z"
"spotify:track:2cHw8REeCBTt7jIMCl1f2S","Murders In The Rue Morgue - 1998 Remastered Version","Iron Maiden","Killers (1998 Remastered Edition)","1","3","259200","spotify:user:s1mo80","2015-08-28T12:53:10Z"
"spotify:track:1L8SrVwjhIRsUdM7TkQprW","Where the Wild Roses Grow","Nick Cave & The Bad Seeds, Kylie Minogue","Murder Ballads (Remastered)","1","5","237080","spotify:user:s1mo80","2015-08-28T12:55:13Z"
"spotify:track:4RRLKrVPLXHlNzyjMCHEE7","Australia","The Men They Couldn't Hang","Smugglers and Bounty Hunters","1","9","214560","spotify:user:eatyourgreens","2015-08-28T12:56:38Z"
"spotify:track:2smilNTXREapaBKBXgq3Xw","White City","The Pogues","Peace & Love (Expanded)","1","2","151466","spotify:user:eatyourgreens","2015-08-28T12:58:33Z"
"spotify:track:0xEE9xgl1YSjLIxJGq9qag","Sacramento","Heavenly","The Decline And Fall Of Heavenly","1","5","160333","spotify:user:eatyourgreens","2015-08-28T12:59:35Z"
"spotify:track:58uilpfv5D6p3HNpTaY2Bu","Willesden Green","The Kinks","Percy (Bonus Track Edition)","1","12","145266","spotify:user:eatyourgreens","2015-08-28T13:07:57Z"
"spotify:track:7emBXvpSN2ACL7sIONdw3G","I Set My Face to the Hillside","Tortoise","TNT","1","4","368533","spotify:user:s1mo80","2015-08-28T13:00:16Z"
"spotify:track:64VGjt2Lm16kfTIUxNv1fX","Toolmaster Of Brainerd","Trip Shakespeare","Are You Shakespearienced?","1","7","267040","spotify:user:eatyourgreens","2015-08-28T13:13:26Z"
"spotify:track:2axOlCxttBIfLqGe13b9QP","New York City Cops","The Strokes","Is This It","1","9","216133","spotify:user:s1mo80","2015-08-28T13:08:35Z"
"spotify:track:7vbLs5ir4tDdbppnWtXGKR","Mississippi Isabel","King Charles","LoveBlood (Deluxe Version)","1","2","183493","spotify:user:1121869608","2015-08-28T13:09:22Z"
"spotify:track:6rhFQMrr2BWrnLewzBh0Wq","Tompkins Square Park","Mumford & Sons","Wilder Mind","1","1","312626","spotify:user:1121869608","2015-08-28T13:14:48Z"
"spotify:track:5me8l6N4UI1mwK4yiHKPRO","California - Tchad Blake Mix","Phantom Planet","California","1","1","194426","spotify:user:1121869608","2015-08-28T13:15:34Z"
"spotify:track:6nYD1UPZzBfnA9aL5TrWTc","Amsterdam","Imagine Dragons","Night Visions (Deluxe)","1","6","241426","spotify:user:1121869608","2015-08-28T13:20:29Z"
"spotify:track:1OFfN6ZiJdDAnSycMIpLwt","Dani California","Red Hot Chili Peppers","Stadium Arcadium","1","1","282160","spotify:user:1121869608","2015-08-28T13:23:38Z"
"spotify:track:7FlwylpJSe3ea6m1IrkizS","West End Girls - 2001 Remastered Version","Pet Shop Boys","Please: Further Listening 1984-1986","1","2","245360","spotify:user:trinity3infinity","2015-08-28T14:22:34Z"
"spotify:track:7eBh47MAQYFNYq0eYWvE5T","Satan and St. Paul","John Fullbright","From The Ground Up","1","4","251973","spotify:user:irregulargalaxies","2015-08-28T14:11:54Z"
"spotify:track:6CmPfPRU24u5cXyinbeDXI","Christmas Card From A Hooker In Minneapolis","Tom Waits","Used Songs (1973-1980)","1","11","271200","spotify:user:irregulargalaxies","2015-08-28T14:04:18Z"
"spotify:track:1yWhjZs4HSSYgSQiQV76OE","Bratislava","Beirut","Gulag Orkestar","1","8","197333","spotify:user:irregulargalaxies","2015-08-28T14:05:12Z"
