﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0tW3pD5XRXx2wRM54udvtM","Big Black Coffin","Peter Bjorn and John","Falling Out","1","5","390573","spotify:user:cmk82","2016-06-03T13:11:49Z"
"spotify:track:1tTF7zYrOv3I8iiBDwRD82","Paper Boats (Instrumental)","Darren Korb","Transistor Original Soundtrack Extended","1","22","240000","spotify:user:cmk82","2016-06-03T13:19:47Z"
"spotify:track:4MRQH3fo06BqspB5D72Wnj","Up To Our Necks In It","Skunkhour","Feed","1","3","287040","spotify:user:cam_allen","2016-06-03T13:15:20Z"
"spotify:track:7CFmNiAE5oaMh4iuzpwi84","Bodywork","MSTRKRFT","The Looks","1","7","352320","spotify:user:cam_allen","2016-06-03T13:19:37Z"
"spotify:track:104RRV00HdxXafI5uqlXpa","SiSi","Washington Irving","Little Wanderer, Head Thee Home","1","1","270120","spotify:user:mrniaboc","2016-06-03T13:21:08Z"
"spotify:track:0QRwbewb7pHId6HEzqEefe","Keepin' It Steel","Amon Tobin","Supermodified","1","11","269306","spotify:user:cam_allen","2016-06-03T13:21:22Z"
"spotify:track:5snPnkYZ3db6DqnurypvNi","Do It to the Max","6th Borough Project","Optimo : The Underground Sound of Glasgow (Mixed By Jd Twitch)","1","2","386867","spotify:user:mrniaboc","2016-06-03T13:21:34Z"
"spotify:track:6cXLGkp5hq2cyCdIudQ70E","Step Steadier (feat. Fox)","The Mouse Outfit, Fox","Step Steadier","1","4","173406","spotify:user:cam_allen","2016-06-03T13:24:15Z"
"spotify:track:1eyciDHFPfXIETZn0LFzCa","Vōs-sākō-rv (Irregular Disco Workers remix)","Lindstrøm","Smalhans - Remixes EP - Vol 1","1","3","440723","spotify:user:mrniaboc","2016-06-03T13:25:46Z"
"spotify:track:6LjZhK4BlTEhquImHWNlbK","I'll Be There","Charlene Soraia","I'll Be There","1","1","229287","spotify:user:alexbowyer","2016-06-03T13:37:48Z"
"spotify:track:5hQIXBqfnxJav8LUzirjZW","Twinkle","Whipping Boy","Heartworm","1","1","301960","spotify:user:alexbowyer","2016-06-03T13:39:30Z"
"spotify:track:5sirKxVmXqSZwQeODzVsbR","Something's Happening","Antietam","Burgoo","1","8","269798","spotify:user:eatyourgreens","2016-06-03T13:28:37Z"
"spotify:track:5VUJfpEKo2RBBDqCJAQj7x","Not Superstitious","Leatherface","Mush","1","6","259133","spotify:user:eatyourgreens","2016-06-03T13:36:42Z"
"spotify:track:3IIY86VtQWcL28C8Cj0vjQ","Ignited","T.M.Revolution","GEISHA BOY","1","5","199786","spotify:user:cmk82","2016-06-03T13:28:00Z"
"spotify:track:7z1QNmu3OVODDxWXawWx9N","Her Brown Blood","Brant Bjork","Jalamanta","1","11","251333","spotify:user:cam_allen","2016-06-03T13:28:09Z"
"spotify:track:0VAUGVx7q944ycjTBbXeqU","The Anti-Shepard","EA Games Soundtrack, Cris Velasco, Sascha Dikiciyan","Mass Effect 3: Citadel","1","8","134733","spotify:user:cmk82","2016-06-03T13:40:30Z"
"spotify:track:0JvYciSenA9nnanGpFsRif","Poor Ben","Niteworks, Donald MacDonald","NW","1","2","262777","spotify:user:mrniaboc","2016-06-03T13:30:07Z"
"spotify:track:2xKeaAmx22pW9cpTxJTol5","Partial Birth","Tilt","Collect 'Em All","1","3","146773","spotify:user:trinity3infinity","2016-06-03T13:37:58Z"
"spotify:track:6o16JFxoLZbrKCdlkC36e0","We Are The One","The Avengers","The American In Me","1","1","158600","spotify:user:trinity3infinity","2016-06-03T13:39:34Z"
"spotify:track:3S8Zs7Gqjzr3dzHDFuCRdN","Electric Surfin' Go Go","POLYSICS","Karate House","1","2","219493","spotify:user:trinity3infinity","2016-06-03T13:42:22Z"
"spotify:track:1vxxjkHTDIvJDs5SOTcj6D","I Decide","The Julie Ruin","I Decide","1","1","212826","spotify:user:trinity3infinity","2016-06-03T13:43:38Z"
"spotify:track:0XNO9rCuGuCZMC0KAfLG0s","Pump","Errors","It's Not Something But It Is Like Whatever","1","8","441626","spotify:user:mrniaboc","2016-06-03T13:34:37Z"
"spotify:track:37KJuB2pwBXMOGpEUVVLc7","Can't Stop These Things","China Drum","Goosefair","1","1","181400","spotify:user:eatyourgreens","2016-06-03T13:39:18Z"
"spotify:track:1E92Dq0Wu7yVoxUd6UMTPv","Social Living","Burning Spear","Social Living","1","2","169466","spotify:user:eatyourgreens","2016-06-03T13:44:14Z"
"spotify:track:4mhwGwETRlEHlX1UdDOoTG","Beauty Queen","Lash","Freaky Friday Original Soundtrack","1","13","225946","spotify:user:alexbowyer","2016-06-03T13:41:44Z"
"spotify:track:4RfTBn4vguw87JL7Lld3eH","Confronting The Wolf (Bonus Track)","Jim Guthrie","Sword & Sworcery Lp: The Ballad Of The Space Babies","1","22","80596","spotify:user:cmk82","2016-06-03T13:47:01Z"
"spotify:track:33q4lyGXs1R4VOnyLSgMkr","Live Without It","Killing Heidi","Reflector","1","9","191333","spotify:user:alexbowyer","2016-06-03T13:43:20Z"
"spotify:track:2FgSmYDPhjo6qNKT3OEsk4","Authority","Client","Authority","1","1","228470","spotify:user:trinity3infinity","2016-06-03T13:55:20Z"
"spotify:track:6NomcdQuHUMmZ6o5fZLqmt","Trophy Girlfriend","Heavenly","Operation Heavenly","1","1","183026","spotify:user:eatyourgreens","2016-06-03T13:46:05Z"
"spotify:track:4Koab2AB1d1mWVq9ij4Mdf","Jungle","Frente!","Shape","1","8","185840","spotify:user:alexbowyer","2016-06-03T13:47:06Z"
"spotify:track:2ydpy4Ub6xclV2BsDxO7S9","Oh, How To Do Now","The Monks","Black Monk Time","1","6","196426","spotify:user:theegrange","2016-06-03T14:38:43Z"
"spotify:track:7swOVY7LFo0MrLiQldujdS","The Jangling Man","The Cleaners From Venus","Number Thirteen","1","1","289814","spotify:user:theegrange","2016-06-03T14:39:44Z"
"spotify:track:3c5TRwKld4yuu5VPsmWjKV","I Get So Excited","The Equals","The Equals - All the Hits Plus More","1","8","145666","spotify:user:theegrange","2016-06-03T14:42:47Z"
"spotify:track:6WtNzeccOZvqNITuJByJWV","Let's Go Away","Wipers","Is This Real?","1","4","108693","spotify:user:theegrange","2016-06-03T14:45:21Z"
"spotify:track:5QhBOHpkIebUOwGMGp6AMK","The Way (You Touch My Hand)","Revelons","Ork Records: New York, New York","1","4","186080","spotify:user:theegrange","2016-06-03T14:51:22Z"
