﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5ghIJDpPoe3CfHMGu71E6T","Smells Like Teen Spirit","Nirvana","Nevermind (Remastered)","1","1","301920","spotify:user:irregulargalaxies","2016-04-07T20:29:55Z"
"spotify:track:3qiyyUfYe7CRYLucrPmulD","Baba O'Riley","The Who","Who's Next (Deluxe Edition)","1","1","300000","spotify:user:irregulargalaxies","2016-04-07T20:31:58Z"
"spotify:track:2bfGNzdiRa1jXZRdfssSzR","Dirty Harry","Gorillaz","Demon Days","1","5","230426","spotify:user:irregulargalaxies","2016-04-07T20:32:58Z"
"spotify:track:22yy03IdKXGRUFMQX8EfBv","Space Oddity - 1999 Remastered Version","David Bowie","Best Of Bowie","1","1","316333","spotify:user:irregulargalaxies","2016-04-07T20:35:04Z"
"spotify:track:6k9DUKMJpWvu6eFG3O64Lg","Subterranean Homesick Blues","Bob Dylan","Bringing It All Back Home","1","1","141293","spotify:user:irregulargalaxies","2016-04-07T20:36:12Z"
"spotify:track:2gNfxysfBRfl9Lvi9T3v6R","Disciples","Tame Impala","Currents","1","9","108546","spotify:user:jordan-genus-and-species","2016-04-07T20:30:35Z"
"spotify:track:17eu2pSgSUpIG1GFWBnODv","Kill V. Maim","Grimes","Art Angels","1","6","246006","spotify:user:trinity3infinity","2016-04-07T20:31:02Z"
"spotify:track:2fgAJeky8Cpsr8Cfvn2NVp","untitled 03 | 05.28.2013.","Kendrick Lamar","untitled unmastered.","1","3","154346","spotify:user:jordan-genus-and-species","2016-04-07T20:31:34Z"
"spotify:track:6A23GM6aoeqRGZFsf9mquS","Wed 21","Juana Molina","Wed 21","1","2","197493","spotify:user:jordan-genus-and-species","2016-04-07T20:32:54Z"
"spotify:track:32UM21Go5fqmt5INVsxoxF","Our Retired Explorer (Dines With Michel Foucault In Paris, 1961)","The Weakerthans","Reconstruction Site","1","6","143693","spotify:user:trinity3infinity","2016-04-07T20:33:18Z"
