﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5gOwfgfPqQALRUpiQudMNm","Kool On","The Roots, Greg Porn, Truck North","Undun (Explicit Version)","1","5","228706","spotify:user:alexbowyer","2015-06-02T14:37:29Z"
"spotify:track:1XlDNpWy8dyEljyRd0RC2J","Losing My Edge","LCD Soundsystem","LCD Soundsystem","2","1","473066","spotify:user:alexbowyer","2015-06-02T14:37:54Z"
"spotify:track:1ZOeXUr9ieWw80zs1T6pkp","Nancy Boy","Placebo","Placebo","1","6","210933","spotify:user:alexbowyer","2015-06-02T14:38:17Z"
"spotify:track:5F6CbtY4vr3LVKpSBt0MI1","Pilots","Goldfrapp","Felt Mountain","1","4","269600","spotify:user:alexbowyer","2015-06-02T14:38:37Z"
"spotify:track:0W0BDGgVnwWwMEaWwEZntk","The Seed (2.0)","The Roots, Cody Chesnutt","Phrenology","1","8","267933","spotify:user:alexbowyer","2015-06-02T14:38:52Z"
"spotify:track:1MxrDcH7Tj777Tsdb163Cs","Shit Shots Count","Drive-By Truckers","English Oceans","1","1","250026","spotify:user:alexbowyer","2015-06-02T14:39:03Z"
"spotify:track:0ZG6hdve975oItifIksheW","Fashion Parade","Misty's Big Adventure, Noddy Holder","Fashion Parade","1","1","223493","spotify:user:alexbowyer","2015-06-02T14:39:28Z"
"spotify:track:035VoIZchOg8MjlGw2tUHR","Odessa","Caribou","Odessa","1","1","315506","spotify:user:alexbowyer","2015-06-02T14:40:04Z"
"spotify:track:2RVCkAsopqqwKHCKKtHVYP","Get By","Talib Kweli","Quality (Explicit Version)","1","3","227426","spotify:user:alexbowyer","2015-06-02T14:40:18Z"
"spotify:track:169oHBed4Nj1Q073yu9bFB","Out of Touch - Remastered","Daryl Hall & John Oates","The Essential Daryl Hall & John Oates","2","6","247160","spotify:user:alexbowyer","2015-06-02T14:40:40Z"
"spotify:track:6yIMatK8OCXC3GuIlwHxuM","Jump Right In","Zac Brown Band","Uncaged","1","1","180813","spotify:user:alexbowyer","2015-06-02T14:41:04Z"
"spotify:track:1EIqG2c3KhOg8NSeuvHO58","Sol Invictus","Faith No More","Sol Invictus","1","1","157013","spotify:user:alexbowyer","2015-06-02T14:41:28Z"
"spotify:track:2zLxeRXwnnKKwcdYGi5pq5","Touched By The Hand Of Cicciolina - Edited Highlights","Pop Will Eat Itself","Cure For Sanity","1","7","461786","spotify:user:alexbowyer","2015-06-03T15:25:03Z"
"spotify:track:6NwbeybX6TDtXlpXvnUOZC","Master Of Puppets","Metallica","Master Of Puppets","1","2","516293","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:1P0wLge0z6CiDMztVH0q9i","High School Art Class","Pretty Lights","Spilling Over Every Side","1","1","532710","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:5MG3oZsudQAxkfJHZ3UNEl","Release Part 1,2, & 3","Blackalicious, Saul Williams, Lyrics Born","Blazing Arrow (UK Version with 1 bonus track)","1","16","566306","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:7xVPfrRlr9dDgSNOH1tfQL","Wait A Minute - Kraak & Smaak Remix","Lack Of Afro","Lack of Afro Presents: One Way (Remixes & Rarities)","2","11","492946","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:2NAMKreCU9QFZk3nZtXZxD","Sinnerman - Live In New York/1965","Nina Simone","The Best Of Nina Simone","1","4","622000","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:6jxeCyeUT3PveYLuN96zOL","Crossing","Praxis","Sacrifist","1","2","382333","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:1rIFZk9tTUtHP3vULR5wXe","Code Monkey","Jonathan Coulton","JoCo Looks Back","1","1","190560","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:3bs23FOdZ6kIRiNjpmGIF0","Quietly","Guano Apes","Walking On A Thin Line","1","6","217906","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:3w5lH18VTgWpVpXd5im236","Suliman","Infected Mushroom","Vicious Delicious","1","5","370760","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:00uFRwMrKpiKaJdgkum93J","Feels So Good","Hera","Live At Al's","1","14","354306","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:3PqG25cnEC8xQdsO0SkzQF","Illusion","VNV Nation","Judgement","1","8","286960","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:30JSP0mpT8DQNHjs6v8Z4P","Howl","Florence + The Machine","Lungs (Deluxe Version)","1","4","214053","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
"spotify:track:16D1W4BryVlcLI4JcTRFkU","The Long Way Around","Dixie Chicks","Taking The Long Way","1","1","272900","spotify:user:alexbowyer","2015-06-05T09:34:20Z"
