﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7mQertZHtd37UQ2uJs0Uct","Where It's At","Beck","Odelay","1","9","329573","spotify:user:1283588385","2015-07-31T14:26:36Z"
"spotify:track:01MBhRpvFkbeRwAp7gcF2W","E-Pro","Beck","Guero","1","1","202360","spotify:user:1283588385","2015-07-31T14:27:08Z"
"spotify:track:3Rmj5bpH6nSI9pNEWP3wBQ","Tell Me When","The Human League","Octopus","1","1","291026","spotify:user:alexbowyer","2015-07-31T14:26:36Z"
"spotify:track:1nZ2TI2hNPGDYyesyaaASn","Love In An Elevator","Aerosmith","20th Century Masters: The Millennium Collection: The Best Of Aerosmith","1","4","322226","spotify:user:1264248857","2015-07-31T14:26:44Z"
"spotify:track:044Q9fAQQkXahoxtHJlJj7","Rain","The Cult","Love","1","5","236733","spotify:user:eatyourgreens","2015-07-31T14:27:40Z"
"spotify:track:63EbhPn7ErTnAxJNZixVTS","Close To Me","The Cure","The Head On The Door","1","7","202866","spotify:user:eatyourgreens","2015-07-31T14:29:47Z"
"spotify:track:1DtWKAziV8MqF1x3BHgpar","Heartland","The The","45 RPM - The Singles Of The The","1","5","276066","spotify:user:eatyourgreens","2015-07-31T14:31:23Z"
"spotify:track:4c6vZqYHFur11FbWATIJ9P","There She Goes","The La's","The La's","1","5","162186","spotify:user:alexbowyer","2015-07-31T14:32:30Z"
"spotify:track:3z5ggGtcs4t8pizW521gW9","Pretend We're Dead","L7","Bricks Are Heavy","1","3","235093","spotify:user:alexbowyer","2015-07-31T14:54:46Z"
"spotify:track:1gTq54mfSFufugNoWJib50","Dizzy","Vic Reeves, The Wonder Stuff","Party","1","18","198306","spotify:user:alexbowyer","2015-07-31T14:35:07Z"
"spotify:track:2779hybiMKwid1gcrFVMzH","Sally MacLennane","The Pogues","Rum Sodomy & The Lash (Expanded)","1","6","165493","spotify:user:eatyourgreens","2015-07-31T14:33:15Z"
"spotify:track:5osQzK28iaBYS8eIvRzccJ","Wonderland","Big Country","Steeltown (Deluxe)","2","1","238986","spotify:user:eatyourgreens","2015-07-31T14:34:21Z"
"spotify:track:7iqds11TrI0RS6p3ALk004","Superman","R.E.M.","Life's Rich Pageant","1","12","173040","spotify:user:1264248857","2015-07-31T14:40:17Z"
"spotify:track:7CBy5lwwNECPDjsksQrxxB","Joyride","Roxette","Joyride (2009 Version)","1","1","263093","spotify:user:alexbowyer","2015-07-31T14:40:31Z"
"spotify:track:6yCjhDzcVIfxvTjBKhhn7P","Sunday Morning","No Doubt","Tragic Kingdom","1","9","273066","spotify:user:trinity3infinity","2015-07-31T14:44:37Z"
"spotify:track:4iCGSi1RonREsPtfEKYj5b","Tonight, Tonight","The Smashing Pumpkins","Mellon Collie and the Infinite Sadness (2012 - Remaster)","1","2","254626","spotify:user:trinity3infinity","2015-07-31T14:46:16Z"
"spotify:track:3LpnzPxkMI6XS4JCbhNeek","I Alone","Live","Throwing Copper","1","3","231133","spotify:user:trinity3infinity","2015-07-31T14:46:44Z"
"spotify:track:6L89mwZXSOwYl76YXfX13s","Basket Case","Green Day","Dookie (U.S. Version)","1","7","181533","spotify:user:trinity3infinity","2015-07-31T14:48:51Z"
"spotify:track:4AiMaeCXwsldpwvA5wu5gM","Runnin' Down A Dream","Tom Petty","Full Moon Fever","1","5","292000","spotify:user:1264248857","2015-07-31T14:46:06Z"
"spotify:track:3DkHNCA4QRBQgTzF2T18hm","Only In Dreams","Weezer","Weezer","1","10","479066","spotify:user:trinity3infinity","2015-07-31T14:51:30Z"
"spotify:track:1B0kPXk3hovx8Gt3FTgPqb","Bus To Beelzebub","Soul Coughing","Lust In Phaze: The Best Of Soul Coughing","1","1","276706","spotify:user:bdisraeli","2015-07-31T14:49:37Z"
"spotify:track:4KliQFRlvNKnlVYzMMbSMq","A Favor House Atlantic","Coheed and Cambria","In Keeping Secrets Of Silent Earth: 3","1","10","234693","spotify:user:bdisraeli","2015-07-31T14:50:12Z"
"spotify:track:0Z1ozhbWc9XPczRSrFYqBb","We Don't Care","Kanye West","The College Dropout (Explicit)","1","2","239880","spotify:user:bdisraeli","2015-07-31T14:50:53Z"
"spotify:track:1Kt0IXQ0sHAJQ99pjXbL3S","Mass I. Devotions before Mass: II. 2. Hymn and Psalm: A simple song","Leonard Bernstein, Jerry Hadley, Deutsches Symphonie-Orchester Berlin, Kent Nagano","Leonard Bernstein: Mass","1","2","226400","spotify:user:1264248857","2015-07-31T14:51:55Z"
"spotify:track:62bnzQxubto9QnTbK16ilD","Armed With A Mind","Have Heart","The Things We Carry","1","3","194586","spotify:user:bdisraeli","2015-07-31T14:52:52Z"
"spotify:track:6mfkHv00I6jhHIn7EWHJ2N","Just A Girl","No Doubt","The Singles Collection","1","1","205946","spotify:user:1264248857","2015-07-31T14:53:55Z"
"spotify:track:1ZozJfi8u9cO2Ob8KwiwNT","Higher","Creed","Human Clay","1","9","316733","spotify:user:1217929062","2015-07-31T15:17:26Z"
"spotify:track:7qEm8Z4KFLdCMlv96KykVd","Beer","Reel Big Fish","Turn The Radio Off","1","6","210533","spotify:user:1217929062","2015-07-31T15:18:02Z"
"spotify:track:1NWOcdyZHuX5g7ThSyb43U","The Cup of Life (The Official Song of the World Cup, France '98) - Remix - English Radio Edit","Ricky Martin, Pablo Flores","Playlist: The Very Best Of Ricky Martin","1","2","276733","spotify:user:1217929062","2015-07-31T15:20:02Z"
"spotify:track:0xMEF2WiqKWTIG7Krjungw","The Distance","Cake","Fashion Nugget","1","2","179653","spotify:user:1217929062","2015-07-31T15:23:21Z"
"spotify:track:7cz70nyRXlCJOE85whEkgU","Flagpole Sitta","Harvey Danger","Where Have All The Merrymakers Gone?","1","2","217266","spotify:user:1217929062","2015-07-31T15:23:31Z"
"spotify:track:27AHAtAirQapVldIm4c9ZX","Jump","Kris Kross","Totally Krossed Out","1","2","195106","spotify:user:julieannku","2015-07-31T15:28:01Z"
"spotify:track:2Qno5n2LmLePUp2NihXQ1q","21st Century (Digital Boy)","Bad Religion","Against The Grain (Reissue)","1","13","170706","spotify:user:cam_allen","2015-07-31T15:32:45Z"
"spotify:track:0Puj4YlTm6xNzDDADXHMI9","Sabotage","Beastie Boys","Ill Communication","1","6","178440","spotify:user:cam_allen","2015-07-31T15:32:56Z"
"spotify:track:6nxHMqTNKWlQnx5AFxz1iX","Green Machine","Kyuss","Blues For The Red Sun","1","2","217906","spotify:user:cam_allen","2015-07-31T15:34:14Z"
"spotify:track:16RLonBmK3BaWJnYRLUiyH","Linoleum","NOFX","Punk In Drublic","1","1","130266","spotify:user:cam_allen","2015-07-31T15:34:51Z"
"spotify:track:66LCa77E7ux7S6oT0YfRBn","My Name Is","Eminem","The Slim Shady LP (Explicit)","1","2","268400","spotify:user:julieannku","2015-07-31T15:35:29Z"
"spotify:track:6zsk6uF3MxfIeHPlubKBvR","Get Ur Freak On","Missy Elliott","Miss E...So Addictive","1","5","211120","spotify:user:julieannku","2015-07-31T15:37:25Z"
"spotify:track:4vvOv6MDFFPpEb1gwwb2ZD","Baby Got Back","Sir Mix-A-Lot","Mack Daddy","1","3","262826","spotify:user:julieannku","2015-07-31T15:38:02Z"
"spotify:track:3kG2YgxjYnnPBlo7H08Xt3","Mo Money Mo Problems (feat. Mase & Puff Daddy)","The Notorious B.I.G., Mase & Puff Daddy","Life After Death (Deluxe Version)","1","10","253133","spotify:user:julieannku","2015-07-31T15:39:52Z"
"spotify:track:6zOlYzDyJifRMxim69LoWj","Ruby Soho","Rancid","...And Out Come The Wolves","1","9","157533","spotify:user:cam_allen","2015-07-31T15:36:14Z"
"spotify:track:4L3sku3mPh6uWGNA63VCgu","Mr. Brightside","The Killers","Hot Fuss (International Version Ecopac)","1","2","222106","spotify:user:becky1505","2015-08-03T15:21:17Z"
"spotify:track:2takcwOaAZWiXQijPHIx7B","Time Is Running Out","Muse","Absolution","1","3","237039","spotify:user:becky1505","2015-08-03T15:21:28Z"
