﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6tHpxFDLucR3Xs9nivuyiO","We Are Sex Bob-Omb","Sex Bob-Omb","Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)","1","1","121333","spotify:user:trinity3infinity","2016-02-18T17:34:36Z"
"spotify:track:0A4PZuepTcIQVvA5m7R0M1","Don't You (Forget About Me)","Simple Minds","Celebrate Greatest Hits","1","14","260680","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-18T17:33:29Z"
"spotify:track:2AkcjsKlRbIBYGAgpQVFii","Comptine d'un autre été, l'après-midi","Yann Tiersen","Amelie from Montmartre","1","4","140733","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-18T17:34:00Z"
"spotify:track:3XfpPDqZtqsqECTQBD96UB","Two New Alphas","John Powell","How to Train Your Dragon 2 (Music from the Motion Picture)","1","18","365080","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-18T17:36:18Z"
"spotify:track:3srcCsCjdbsXQKoWLCXFe5","Any Other Name","Thomas Newman","American Beauty (Soundtrack)","1","18","246626","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-18T17:37:14Z"
"spotify:track:1rWiMhHvRua3jPyKAY43nB","First Class","Henry Jackman","X-MEN: FIRST CLASS","1","1","200226","spotify:user:215iyqxnackx5ekss5adqd73a","2016-02-18T17:34:17Z"
"spotify:track:4O6ZaZrRCFfiZZKjnrXqlk","That Thing You Do!","The Wonders","That Thing You Do! Original Motion Picture Soundtrack","1","2","166773","spotify:user:trinity3infinity","2016-02-18T17:39:31Z"
"spotify:track:3x3RacxQ19Lghu46faO9DA","Belleville rendez-vous","M","The Triplets Of Belleville","1","2","190973","spotify:user:irregulargalaxies","2016-02-18T17:46:59Z"
"spotify:track:3glMshxOsUKmwbPPRXXZhz","Barra Barra","Rachid Taha","Black Hawk Down - Original Motion Picture Soundtrack","1","2","347800","spotify:user:irregulargalaxies","2016-02-18T17:48:50Z"
"spotify:track:6A8uGdTrAKWoJ4pf81pjwW","A Mighty Wind","The Folksmen, Mitch & Mickey, The New Main Street Singers","A Mighty Wind - The Album","1","17","135800","spotify:user:irregulargalaxies","2016-02-18T17:47:31Z"
"spotify:track:3XbiTbEktENk8Y242Y2Sy5","Can You Picture That? - From "The Muppet Movie"/Soundtrack Version","Dr. Teeth and The Electric Mayhem","The Muppet Movie (Original Motion Picture Soundtrack)","1","6","153040","spotify:user:irregulargalaxies","2016-02-18T17:48:33Z"
"spotify:track:47aMbtetHwI7tLR9Z7iec7","Summer Overture","Clint Mansell, Kronos Quartet","Requiem for a Dream / OST","1","1","155266","spotify:user:trinity3infinity","2016-02-18T17:47:12Z"
"spotify:track:3FBgNT3PC3R8q3lBnAQWvh","Iko Iko","The Belle Stars","Rain Man / Original Motion Picture Soundtrack","1","1","173933","spotify:user:becky1505","2016-02-19T10:34:59Z"
"spotify:track:5ONu4EF5vxDOCmBbQI6s0M","The Hanging Tree","James Newton Howard, Jennifer Lawrence","The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score)","1","11","218506","spotify:user:becky1505","2016-02-19T10:41:44Z"
"spotify:track:3HQ9Dzqm9bYGAs4xVjcbYj","Friend Like Me - From "Aladdin"/Soundtrack Version","Robin Williams","Aladdin Special Edition (International Version)","1","6","146453","spotify:user:becky1505","2016-02-19T10:45:37Z"
"spotify:track:7aHRctaQ7vjxVTVmY8OhAA","We Built This City","Starship","Knee Deep In The Hoopla","1","1","296080","spotify:user:becky1505","2016-02-19T10:47:06Z"
"spotify:track:7nemcVsXVFZF01iqpIIo2Y","It's a Long Way to the Top (If You Wanna Rock 'N' Roll)","AC/DC","High Voltage","1","1","301226","spotify:user:becky1505","2016-02-19T10:49:42Z"
"spotify:track:4KsiwmpK6OsCiKs8t3uL5w","Platoon: Adagio for Strings","Best Movie Soundtracks","The Very Best of the Movie Soundtracks: Gold Edition","1","18","493988","spotify:user:eatyourgreens","2016-02-19T13:58:56Z"
"spotify:track:7tPUig2LybyxyC0SDrgJuT","Hangin' Out","2 LIVE CREW","Goes To The Movies / A Decade Of Hits","1","6","156240","spotify:user:eatyourgreens","2016-02-19T14:06:11Z"
"spotify:track:7bS4V9DNyqJJV2ibtO0axH","Shoop","Salt-N-Pepa","Deadpool (Original Motion Picture Soundtrack)","1","4","248560","spotify:user:eatyourgreens","2016-02-19T14:27:38Z"
"spotify:track:6voaSaf45PtbF8TG1CpjQx","Purple Rain (From "Purple Rain")","Soundtrack, Best Movie Soundtracks, The TV Theme Players","Best Movie & Tv Tunes","1","14","275627","spotify:user:trinity3infinity","2016-02-19T16:28:46Z"
"spotify:track:0KE5Uw9yO4ROgON70Gnihb","Outlands","Daft Punk","TRON: Legacy","1","9","162480","spotify:user:eatyourgreens","2016-02-19T16:09:10Z"
"spotify:track:23WHTR4EN7QUx1oqa2z0zh","We Own It (Fast & Furious)","2 Chainz, Wiz Khalifa","B.O.A.T.S. II #METIME (Deluxe)","1","18","227906","spotify:user:eatyourgreens","2016-02-19T16:11:35Z"
"spotify:track:2Fyz3wjxtUP1WvidFxPBry","Magic Dance (Single Version) - 2002 Remastered Version","David Bowie","Magic Dance E.P.","1","1","227323","spotify:user:12184019594","2016-02-19T16:25:42Z"
