﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0LTZD4vTsp0EN1wXatc9IR","Paranoid Android","Radiohead","OK Computer [Collector's Edition]","1","2","383506","spotify:user:irregulargalaxies","2015-06-19T09:43:09Z"
"spotify:track:6Qy5mfrRPveNNXjEDOG2iV","First Train Home","Imogen Heap","Ellipse","1","1","253480","spotify:user:irregulargalaxies","2015-06-19T09:43:13Z"
"spotify:track:3lPr8ghNDBLc2uZovNyLs9","Supermassive Black Hole","Muse","Black Holes And Revelations (Updated 09 version)","1","3","212439","spotify:user:irregulargalaxies","2015-06-19T09:43:28Z"
"spotify:track:3RLim0eufd4wmcYpyK19Qy","Wise Up","Aimee Mann","Magnolia (Music from the Motion Picture)","1","8","210786","spotify:user:irregulargalaxies","2015-06-19T09:43:31Z"
"spotify:track:4LISIMkTneaWlnvyOTeWJi","Deep Red","Apoptygma Berzerk","APBL 2000 (Apoptygma Berzerk Live 2000)","1","6","239813","spotify:user:alexbowyer","2015-06-19T09:36:48Z"
"spotify:track:2VKNYeuBgyr5MqVsiwcUfE","Bennie And The Jets","Elton John","The Greatest Hits 1970-2002","1","10","322240","spotify:user:alexbowyer","2015-06-19T09:38:17Z"
"spotify:track:42WPVWtxYdFE9fb8Vp24FR","Running Up That Hill","Placebo","Best Of The Bands","1","13","294093","spotify:user:alexbowyer","2015-06-19T09:37:42Z"
"spotify:track:7o7E1nrHWncYY7PY94gCiX","Video Killed The Radio Star","The Buggles","The Age Of Plastic (Remastered)","1","2","253733","spotify:user:alexbowyer","2015-06-19T09:38:53Z"
"spotify:track:1RCtHLyq1xIbgGMrYRrKJ2","Under the Milky Way","The Church","Starfish","1","2","297600","spotify:user:becky1505","2015-06-19T09:52:30Z"
"spotify:track:53rVYwGiKUC3gYX8SQQYYU","Something In The Way","Nirvana","MTV Unplugged In New York","1","9","241533","spotify:user:becky1505","2015-06-19T09:52:34Z"
"spotify:track:7FOZKzyMlqKMOua5aehMUa","Mysterious Ways","U2","Achtung Baby","1","8","243586","spotify:user:becky1505","2015-06-19T09:52:38Z"
"spotify:track:2cMTIlktg3M9mXYqCPqw1J","Milkshake","Kelis","Tasty","1","3","182626","spotify:user:becky1505","2015-06-19T09:52:42Z"
"spotify:track:2LJaAJmtdTgzQHzNJpAurE","Milky Blue","Sea Lion","Cobra’s Eyes","1","1","148506","spotify:user:becky1505","2015-06-19T09:52:57Z"
"spotify:track:6NxsCnLeLd8Ai1TrgGxzIx","Bad Moon Rising","Creedence Clearwater Revival","Green River (40th Anniversary Edition)","1","5","141600","spotify:user:116001551","2015-06-19T10:01:13Z"
"spotify:track:0zOb6qsJmVpO8ZztQ8PjuK","Light Years","Stellardrone","Light Years","1","4","364615","spotify:user:alexbowyer","2015-06-19T10:01:16Z"
"spotify:track:05jKEHsBd71uf641fRSzRd","Flash - Live In Montreal / November 1981","Queen","Flash Gordon (Deluxe Edition 2011 Remaster)","2","5","132053","spotify:user:116001551","2015-06-19T10:04:39Z"
"spotify:track:0dh2F3Mi1b1EGafGmvUC9M","Space Walk","Lemon Jelly","Lost Horizons","1","2","422826","spotify:user:116001551","2015-06-19T10:06:01Z"
"spotify:track:7mEGPyPVnNFwmzMLhp0Ghe","Standing in the Way of Control - Soulwax Nite Version","Gossip","Rework it","1","5","412603","spotify:user:mrniaboc","2015-06-19T12:55:28Z"
"spotify:track:26Zri9NhNxFBnOrFjuHBZW","Pavane, Op.50","Gabriel Fauré, Albrecht Mayer, Academy of St. Martin in the Fields, Mathias Mönius","Bonjour Paris","1","2","354186","spotify:user:mrniaboc","2015-06-19T12:55:34Z"
"spotify:track:7i9dVsjX7Jv7woyqPpMJLn","Love Illumination","Franz Ferdinand","Right Thoughts, Right Words, Right Action (Deluxe Edition)","1","3","224266","spotify:user:mrniaboc","2015-06-19T12:58:32Z"
"spotify:track:5C55En2nGvC80MCjWMV8bu","Me And Stephen Hawking","Manic Street Preachers","Journal For Plague Lovers","1","3","167013","spotify:user:mrniaboc","2015-06-19T13:00:02Z"
"spotify:track:0eFvoRSTTaR2q8bSWVjwfp","Welcome To The Jungle","Guns N' Roses","Greatest Hits","1","1","271866","spotify:user:trinity3infinity","2015-06-19T16:07:17Z"
"spotify:track:0QUpBXTOdB4JJyTGFN6dH1","Jungle Love","The Time","Ice Cream Castle","1","4","333360","spotify:user:trinity3infinity","2015-06-19T16:07:28Z"
"spotify:track:1lFC3sMgOcDrVzNh8zXRnl","Monkey Gone To Heaven","Pixies","Doolittle","1","7","177466","spotify:user:trinity3infinity","2015-06-19T16:09:50Z"
"spotify:track:4OTNj9IpDXXOfAYGrNRl8N","What We Do","DEVO","Something For Everybody","1","2","197146","spotify:user:trinity3infinity","2015-06-19T16:13:50Z"
"spotify:track:2374M0fQpWi3dLnB54qaLX","Africa","Toto","Toto IV","1","10","295893","spotify:user:trinity3infinity","2015-06-19T16:14:25Z"
