﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3CFreeQN3KprsAO9Io0MpP","Vaseline","Elastica","Elastica","1","13","82093","spotify:user:alexbowyer","2015-06-12T11:06:38Z"
"spotify:track:16Wr4dUpjdpCRqIljtkBNF","Anything (2008 Album Version)","Third Eye Blind","Blue","1","1","120093","spotify:user:becky1505","2015-06-12T11:10:13Z"
"spotify:track:1xwsw4iZngFPe92oflDrfY","Attractive Today","Motion City Soundtrack","Commit This To Memory","1","1","101680","spotify:user:becky1505","2015-06-12T11:11:14Z"
"spotify:track:4AD2dterIUjNt1LFNI9Bvi","He's a Pirate","Klaus Badelt","Pirates Of The Caribbean Original Soundtrack","1","15","90426","spotify:user:becky1505","2015-06-12T11:19:36Z"
"spotify:track:1s2UjNbBDsuRkLvNRhy6Ul","Sunshine, Lollipops And Rainbows","Lesley Gore","The Essential Collection","1","12","96666","spotify:user:becky1505","2015-06-12T11:01:50Z"
"spotify:track:7jAt4ULjZ9PMioduX71M9a","Postcards From Far Away","Coldplay","Viva La Vida - Prospekt's March Edition","2","2","48128","spotify:user:becky1505","2015-06-12T11:02:16Z"
"spotify:track:6jR4FKWiil1FrsfEMt7jqu","Pea","Red Hot Chili Peppers","One Hot Minute (Deluxe Version)","1","6","107306","spotify:user:1134862065","2015-06-12T11:01:17Z"
"spotify:track:1zk83fvgButCtKz8diUe4H","Sprawl","Calexico","The Black Light","1","13","87173","spotify:user:rogerhutchings","2015-06-12T11:06:31Z"
"spotify:track:7qmLtaS9vp9pMuTWlsj6ZO","Gros-Bon-Ange","Errors","New Relics","1","6","103666","spotify:user:rogerhutchings","2015-06-12T11:07:11Z"
"spotify:track:5zDjQYRddYpP1YO2cVUAbO","The Protest","Flying Lotus","You're Dead!","1","19","117254","spotify:user:rogerhutchings","2015-06-12T11:08:13Z"
"spotify:track:3khjohtOfTx45eDCGvonnX","O I Sleep","Mogwai","Rock Action","1","3","55866","spotify:user:rogerhutchings","2015-06-12T11:08:39Z"
"spotify:track:0fJpmhnswgTACvqqUOy8mg","Your Days Are Numbered","Zefur Wolves","Zefur Wolves","1","8","84906","spotify:user:rogerhutchings","2015-06-12T11:09:07Z"
"spotify:track:1th7V9gvSNZpNFRlcaiPHP","Le banquet","Yann Tiersen","Amelie from Montmartre","1","18","91000","spotify:user:1134862065","2015-06-12T11:03:22Z"
