﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1FlTlqvF6MXR1knSfZy99Z","Journey To The Island - Jurassic Park/Soundtrack Version","John Williams","Jurassic Park (Soundtrack)","1","4","532706","spotify:user:alexbowyer","2015-06-05T09:36:38Z"
"spotify:track:6l0LbTF2V77M3LPpcOBmqX","Halcyon And On And On","Orbital","Orbital 2","1","9","567106","spotify:user:alexbowyer","2015-06-05T09:37:12Z"
"spotify:track:3z8Vfp5fqVtd0fCfhzDCTv","One & One - Quivvers Amityville Vocal Remix","MARIA NAYLER, Robert Miles","Deconstruction Reconstructed 019","1","3","584333","spotify:user:alexbowyer","2015-06-05T09:45:00Z"
"spotify:track:1QyZmr3eMkI8TIKU6M9vYa","2112: Overture / The Temples Of Syrinx / Discovery - Medley","Rush","2112","1","1","1233666","spotify:user:astopy","2015-06-05T09:37:38Z"
"spotify:track:0M6LyuFBanLFJ0lOdpCbgu","1960 What?","Gregory Porter","Water","1","7","746221","spotify:user:astopy","2015-06-05T09:37:38Z"
"spotify:track:4nufOE7BPyX0Anh6ZTY7kZ","I Heard It Through The Grapevine","Creedence Clearwater Revival","Cosmo's Factory (40th Anniversary Edition)","1","10","662773","spotify:user:astopy","2015-06-05T09:37:38Z"
"spotify:track:3tEuFYWBimv6LeNS5lXBrx","Rime Of The Ancient Mariner - 1998 Remastered Version","Iron Maiden","Powerslave","1","8","814466","spotify:user:astopy","2015-06-05T09:37:38Z"
"spotify:track:7nW1XYFTYXErSrNXBhVJzA","Acetylene","Patty Hurst Shifter","Too Crowded On The Losing End","1","11","596200","spotify:user:astopy","2015-06-05T09:37:38Z"
"spotify:track:1wepiINDcmckV8W84pihk7","Salva Mea","Faithless, Rollo Armstrong, Sister Bliss","Reverence","1","3","645333","spotify:user:mrniaboc","2015-06-05T09:39:20Z"
"spotify:track:2cmRpmO04TLaKPzmAzySYZ","Dance Yrself Clean","LCD Soundsystem","This Is Happening","1","1","536471","spotify:user:mrniaboc","2015-06-05T09:39:37Z"
"spotify:track:1P0wLge0z6CiDMztVH0q9i","High School Art Class","Pretty Lights","Spilling Over Every Side","1","1","532710","spotify:user:mrniaboc","2015-06-05T09:39:42Z"
"spotify:track:4pnS72msmmfpIM2GEB03Jv","HUSTLER - Joakim Remix","Simian Mobile Disco","SAMPLE AND HOLD: Attack Decay Sustain Release REMIXED (Standard Version)","1","4","481000","spotify:user:mrniaboc","2015-06-05T09:40:29Z"
"spotify:track:2bZqtcd92jJ7CZlrt3Mmwu","Beautiful Life","Gui Boratto","Chromophobia","1","11","507279","spotify:user:mrniaboc","2015-06-05T09:40:34Z"
"spotify:track:5c6mEoCEHzFhUpacxNAQVn","Scotland's Shame","Mogwai","The Hawk Is Howling","1","8","480133","spotify:user:rogerhutchings","2015-06-05T09:43:48Z"
"spotify:track:1HOLCjQoW44V43UFjZMqjm","Interstellar","Amplifier","The Octopus","1","10","618226","spotify:user:rogerhutchings","2015-06-05T09:45:21Z"
"spotify:track:5z1E46RvhI34TTM2FDMPrp","1/2 - 2004 Digital Remaster","Brian Eno","Ambient 1/Music For Airports","1","3","727080","spotify:user:rogerhutchings","2015-06-05T09:47:47Z"
"spotify:track:12UfBYqwScYscYJJ2Fov5p","Through The Knowledge Of Those Who Observe Us","Errors","Lease Of Life","1","9","799693","spotify:user:rogerhutchings","2015-06-05T09:46:01Z"
"spotify:track:6NwbeybX6TDtXlpXvnUOZC","Master Of Puppets","Metallica","Master Of Puppets","1","2","516293","spotify:user:cam_allen","2015-06-05T09:44:07Z"
"spotify:track:5MG3oZsudQAxkfJHZ3UNEl","Release Part 1,2, & 3","Blackalicious, Saul Williams, Lyrics Born","Blazing Arrow (UK Version with 1 bonus track)","1","16","566306","spotify:user:cam_allen","2015-06-05T09:44:11Z"
"spotify:track:7xVPfrRlr9dDgSNOH1tfQL","Wait A Minute - Kraak & Smaak Remix","Lack Of Afro","Lack of Afro Presents: One Way (Remixes & Rarities)","2","11","492946","spotify:user:cam_allen","2015-06-05T09:44:14Z"
"spotify:track:2NAMKreCU9QFZk3nZtXZxD","Sinnerman - Live In New York/1965","Nina Simone","The Best Of Nina Simone","1","4","622000","spotify:user:cam_allen","2015-06-05T09:44:20Z"
"spotify:track:58KPPL1AdLHMvR2O2PZejr","Jesus Of Suburbia","Green Day","American Idiot (Regular Edition)","1","2","548253","spotify:user:becky1505","2015-06-05T09:45:55Z"
"spotify:track:54X78diSLoUDI3joC2bjMz","Purple Rain","Prince & The Revolution","Purple Rain","1","9","522293","spotify:user:becky1505","2015-06-05T09:46:01Z"
"spotify:track:2f07JplhHDD6HULBaTzmXI","All Around The World","Oasis","Be Here Now","1","10","560040","spotify:user:becky1505","2015-06-05T09:47:46Z"
"spotify:track:3R2q3FCnNIw2XhuEbYtYk6","Jungleland","Bruce Springsteen","Born To Run","1","8","575653","spotify:user:becky1505","2015-06-05T09:45:46Z"
"spotify:track:1g0ANOIlEp0A9mp8xm3ICz","Come Together","Primal Scream","Screamadelica","1","6","625253","spotify:user:116001551","2015-06-05T09:46:36Z"
"spotify:track:4chy79kdbng3yrdBNzphLB","Barber's Adagio For Strings","William Orbit","Pieces In A Modern Style","1","1","569933","spotify:user:alexbowyer","2015-06-05T09:47:18Z"
"spotify:track:1lqMLr9Wj7SM2F9AikGcxN","Hurricane","Bob Dylan","Desire","1","1","512733","spotify:user:1134862065","2015-06-05T09:53:13Z"
"spotify:track:0CJgpdxKejhopHEWf7hjQV","One Day I Wish To Have This Kind Of Time","Ott","Mir","1","1","513632","spotify:user:alexbowyer","2015-06-05T09:50:10Z"
"spotify:track:7BnaBfnljk1fIF1TPVPKNt","Spencer Perceval","I LIKE TRAINS","Elegies To Lessons Learnt","1","9","564093","spotify:user:rogerhutchings","2015-06-05T09:53:44Z"
"spotify:track:5UcyAy1vR3T70ZSxjYGIh8","Bitches Brew - Live","Miles Davis","Setlist: The Very Best of Miles Davis LIVE - (Electric)","1","2","609280","spotify:user:116001551","2015-06-05T09:53:46Z"
"spotify:track:2ERIyRgHft0redDMaJgHUY","How High the Moon","Ella Fitzgerald","Ella (Live in Berlin)","1","9","485900","spotify:user:1134862065","2015-06-05T09:56:20Z"
"spotify:track:5OBptQtIlGOG94la7qil6c","Firth Of Fifth - 2008 Digital Remaster","Genesis","Selling England By The Pound","1","3","574840","spotify:user:becky1505","2015-06-05T10:01:16Z"
"spotify:track:2Yls2yYdqZKupE3kq4nPd6","On Her Majesty`s Secret Service","Propellerheads","Decksandrumsandrockandroll","1","10","560760","spotify:user:cam_allen","2015-06-05T09:58:44Z"
"spotify:track:0FNbYwWgqo2vSGJTRtx6Zu","Scenes from an Italian Restaurant - Live","Billy Joel","2000 Years - The Millennium Concert","2","8","485026","spotify:user:116001551","2015-06-05T10:09:16Z"
"spotify:track:2QgWuCtBpNIpl5trmKCxRf","American Pie","Don McLean","The Best Of Don McLean","1","1","515866","spotify:user:1134862065","2015-06-05T10:13:16Z"
"spotify:track:2uzwf64V2GfekAQAZaG58n","When The Music's Over - Live Version","The Doors","American Nights - In Concert","1","8","889560","spotify:user:116001551","2015-06-05T10:13:25Z"
"spotify:track:7iLGljK0LNpGamQQEOuCRC","Won't Get Fooled Again - Original Album Version","The Who","Who's Next (Deluxe Edition)","1","9","511400","spotify:user:116001551","2015-06-05T10:42:46Z"
"spotify:track:7nHzn9McGtlm57L2pMln8S","The Hook","Praxis","Sacrifist","1","8","583400","spotify:user:eatyourgreens","2015-06-05T10:57:46Z"
"spotify:track:7abUIdHn2uNnR75HP4BVFm","Oltremare","Ludovico Einaudi","Divenire (Bonus Track Version)","1","7","660000","spotify:user:21kymv5meu6ckaalxjjxf7rwq","2015-06-05T11:09:56Z"
"spotify:track:0FOHxaEjmFeuCgMUEGxiok","Interstellar Overdrive - 2011 Remastered Version","Pink Floyd","The Piper At The Gates Of Dawn [2011 - Remaster] (2011 Remastered Version)","1","7","580715","spotify:user:eatyourgreens","2015-06-05T11:23:34Z"
"spotify:track:1J5ZXurCRQdFHWfOiFt12x","Sir Psycho Sexy","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Version)","1","16","496600","spotify:user:perry_roper","2015-06-05T11:11:40Z"
